,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,55,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,697.95
1,2015-07-19,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
2,2015-07-26,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
3,2015-08-02,50,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,634.5
4,2015-08-09,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
5,2015-08-16,58,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,736.02
6,2015-08-23,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
7,2015-08-30,69,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,875.61
8,2015-09-06,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
9,2015-09-13,46,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,583.74
10,2015-09-20,48,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,609.12
11,2015-09-27,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
12,2015-10-04,50,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,634.5
13,2015-10-11,58,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,736.02
14,2015-10-18,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
15,2015-10-25,58,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,736.02
16,2015-11-01,42,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,532.98
17,2015-11-08,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
18,2015-11-15,53,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,672.57
19,2015-11-22,31,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,393.39
20,2015-11-29,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
21,2015-12-06,42,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,532.98
22,2015-12-13,42,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,532.98
23,2015-12-20,43,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,545.67
24,2015-12-27,35,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,444.15
25,2016-01-03,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
26,2016-01-10,41,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,520.29
27,2016-01-17,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
28,2016-01-24,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
29,2016-01-31,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
30,2016-02-07,48,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,609.12
31,2016-02-14,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
32,2016-02-21,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
33,2016-02-28,54,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,685.26
34,2016-03-06,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
35,2016-03-13,36,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,456.84
36,2016-03-20,70,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,888.3
37,2016-03-27,29,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,368.01
38,2016-04-03,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
39,2016-04-10,39,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,494.91
40,2016-04-17,62,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,786.78
41,2016-04-24,46,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,583.74
42,2016-05-01,90,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,1142.1
43,2016-05-08,54,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,685.26
44,2016-05-15,81,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,1027.89
45,2016-05-22,37,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,469.53
46,2016-05-29,67,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,850.23
47,2016-06-05,54,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,685.26
48,2016-06-12,35,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,444.15
49,2016-06-19,65,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,824.85
50,2016-06-26,46,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,583.74
51,2016-07-03,40,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,507.6
52,2016-07-10,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
53,2016-07-17,46,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,583.74
54,2016-07-24,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
55,2016-07-31,77,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,977.13
56,2016-08-07,59,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,748.71
57,2016-08-14,36,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,456.84
58,2016-08-21,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
59,2016-08-28,30,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,380.7
60,2016-09-04,51,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,647.19
61,2016-09-11,37,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,469.53
62,2016-09-18,50,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,634.5
63,2016-09-25,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
64,2016-10-02,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
65,2016-10-09,55,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,697.95
66,2016-10-16,41,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,520.29
67,2016-10-23,53,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,672.57
68,2016-10-30,61,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,774.09
69,2016-11-06,48,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,609.12
70,2016-11-13,37,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,469.53
71,2016-11-20,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
72,2016-11-27,63,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,799.47
73,2016-12-04,42,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,532.98
74,2016-12-11,41,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,520.29
75,2016-12-18,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
76,2016-12-25,36,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,456.84
77,2017-01-01,47,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,596.43
78,2017-01-08,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
79,2017-01-15,48,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,609.12
80,2017-01-22,51,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,647.19
81,2017-01-29,58,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,736.02
82,2017-02-05,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
83,2017-02-12,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
84,2017-02-19,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
85,2017-02-26,48,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,609.12
86,2017-03-05,60,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,761.4
87,2017-03-12,61,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,774.09
88,2017-03-19,45,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,571.05
89,2017-03-26,73,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,926.37
90,2017-04-02,68,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,862.92
91,2017-04-09,67,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,850.23
92,2017-04-16,63,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,799.47
93,2017-04-23,74,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,939.06
94,2017-04-30,100,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,1269.0
95,2017-05-07,72,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,913.68
96,2017-05-14,69,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,875.61
97,2017-05-21,31,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,393.39
98,2017-05-28,52,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,659.88
99,2017-06-04,58,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,736.02
100,2017-06-11,33,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,418.77
101,2017-06-18,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
102,2017-06-25,35,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,444.15
103,2017-07-02,45,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,571.05
104,2017-07-09,34,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,431.46
105,2017-07-16,35,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,444.15
106,2017-07-23,42,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,532.98
107,2017-07-30,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
108,2017-08-06,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
109,2017-08-13,37,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,469.53
110,2017-08-20,41,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,520.29
111,2017-08-27,55,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,697.95
112,2017-09-03,50,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,634.5
113,2017-09-10,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
114,2017-09-17,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
115,2017-09-24,49,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,621.81
116,2017-10-01,50,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,634.5
117,2017-10-08,66,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,837.54
118,2017-10-15,55,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,697.95
119,2017-10-22,51,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,647.19
120,2017-10-29,45,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,571.05
121,2017-11-05,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
122,2017-11-12,56,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,710.64
123,2017-11-19,41,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,520.29
124,2017-11-26,55,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,697.95
125,2017-12-03,64,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,812.16
126,2017-12-10,59,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,748.71
127,2017-12-17,57,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,723.33
128,2017-12-24,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
129,2017-12-31,45,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,571.05
130,2018-01-07,38,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,482.22
131,2018-01-14,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
132,2018-01-21,34,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,431.46
133,2018-01-28,71,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,900.99
134,2018-02-04,61,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,774.09
135,2018-02-11,39,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,494.91
136,2018-02-18,44,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,558.36
137,2018-02-25,53,False,Events,Announcement,Announcement template,230.76923076923077,2307.6923076923076,1122,1269,672.57
