,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,92,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9553.28
1,2015-07-19,99,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,10280.16
2,2015-07-26,89,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9241.76
3,2015-08-02,70,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7268.8
4,2015-08-09,75,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7788.0
5,2015-08-16,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
6,2015-08-23,68,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7061.12
7,2015-08-30,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
8,2015-09-06,96,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9968.64
9,2015-09-13,72,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7476.48
10,2015-09-20,93,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9657.12
11,2015-09-27,98,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,10176.32
12,2015-10-04,81,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8411.04
13,2015-10-11,100,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,10384.0
14,2015-10-18,90,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9345.6
15,2015-10-25,82,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8514.88
16,2015-11-01,87,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9034.08
17,2015-11-08,83,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8618.72
18,2015-11-15,98,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,10176.32
19,2015-11-22,68,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7061.12
20,2015-11-29,72,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7476.48
21,2015-12-06,77,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7995.68
22,2015-12-13,66,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6853.44
23,2015-12-20,51,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5295.84
24,2015-12-27,45,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4672.8
25,2016-01-03,79,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8203.36
26,2016-01-10,74,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7684.16
27,2016-01-17,73,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7580.32
28,2016-01-24,61,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6334.24
29,2016-01-31,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
30,2016-02-07,69,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7164.96
31,2016-02-14,58,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6022.72
32,2016-02-21,67,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6957.28
33,2016-02-28,51,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5295.84
34,2016-03-06,80,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8307.2
35,2016-03-13,45,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4672.8
36,2016-03-20,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
37,2016-03-27,54,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5607.36
38,2016-04-03,69,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7164.96
39,2016-04-10,80,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8307.2
40,2016-04-17,62,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6438.08
41,2016-04-24,89,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,9241.76
42,2016-05-01,62,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6438.08
43,2016-05-08,67,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6957.28
44,2016-05-15,57,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5918.88
45,2016-05-22,65,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6749.6
46,2016-05-29,69,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7164.96
47,2016-06-05,61,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6334.24
48,2016-06-12,73,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7580.32
49,2016-06-19,54,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5607.36
50,2016-06-26,59,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6126.56
51,2016-07-03,66,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6853.44
52,2016-07-10,62,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6438.08
53,2016-07-17,58,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6022.72
54,2016-07-24,45,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4672.8
55,2016-07-31,72,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7476.48
56,2016-08-07,60,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6230.4
57,2016-08-14,75,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7788.0
58,2016-08-21,68,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7061.12
59,2016-08-28,84,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8722.56
60,2016-09-04,81,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8411.04
61,2016-09-11,56,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5815.04
62,2016-09-18,57,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5918.88
63,2016-09-25,100,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,10384.0
64,2016-10-02,66,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6853.44
65,2016-10-09,81,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8411.04
66,2016-10-16,76,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7891.84
67,2016-10-23,65,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6749.6
68,2016-10-30,51,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5295.84
69,2016-11-06,66,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6853.44
70,2016-11-13,74,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7684.16
71,2016-11-20,52,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5399.68
72,2016-11-27,45,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4672.8
73,2016-12-04,83,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8618.72
74,2016-12-11,60,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6230.4
75,2016-12-18,52,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5399.68
76,2016-12-25,45,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4672.8
77,2017-01-01,86,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8930.24
78,2017-01-08,76,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7891.84
79,2017-01-15,73,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7580.32
80,2017-01-22,50,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5192.0
81,2017-01-29,76,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7891.84
82,2017-02-05,63,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6541.92
83,2017-02-12,57,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5918.88
84,2017-02-19,54,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5607.36
85,2017-02-26,79,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,8203.36
86,2017-03-05,60,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6230.4
87,2017-03-12,62,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6438.08
88,2017-03-19,59,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6126.56
89,2017-03-26,44,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,4568.96
90,2017-04-02,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
91,2017-04-09,55,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5711.2
92,2017-04-16,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
93,2017-04-23,74,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7684.16
94,2017-04-30,60,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6230.4
95,2017-05-07,57,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5918.88
96,2017-05-14,56,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5815.04
97,2017-05-21,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
98,2017-05-28,52,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5399.68
99,2017-06-04,70,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7268.8
100,2017-06-11,63,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6541.92
101,2017-06-18,57,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5918.88
102,2017-06-25,64,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6645.76
103,2017-07-02,69,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,7164.96
104,2017-07-09,56,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,5815.04
105,2017-07-16,66,False,Personal,Birthday Card,Birthday Card template,2307.6923076923076,23076.923076923078,679,10384,6853.44
