,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,56,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5815.04
1,2015-07-19,60,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6230.4
2,2015-07-26,74,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7684.16
3,2015-08-02,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
4,2015-08-09,82,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,8514.88
5,2015-08-16,71,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7372.64
6,2015-08-23,73,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7580.32
7,2015-08-30,57,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5918.88
8,2015-09-06,67,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6957.28
9,2015-09-13,89,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,9241.76
10,2015-09-20,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
11,2015-09-27,62,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6438.08
12,2015-10-04,74,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7684.16
13,2015-10-11,75,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7788.0
14,2015-10-18,73,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7580.32
15,2015-10-25,66,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6853.44
16,2015-11-01,77,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7995.68
17,2015-11-08,78,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,8099.52
18,2015-11-15,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
19,2015-11-22,62,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6438.08
20,2015-11-29,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
21,2015-12-06,53,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5503.52
22,2015-12-13,59,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6126.56
23,2015-12-20,30,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,3115.2
24,2015-12-27,48,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,4984.32
25,2016-01-03,82,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,8514.88
26,2016-01-10,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
27,2016-01-17,72,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7476.48
28,2016-01-24,64,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6645.76
29,2016-01-31,62,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6438.08
30,2016-02-07,59,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6126.56
31,2016-02-14,52,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5399.68
32,2016-02-21,64,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6645.76
33,2016-02-28,55,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5711.2
34,2016-03-06,60,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6230.4
35,2016-03-13,54,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5607.36
36,2016-03-20,49,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5088.16
37,2016-03-27,56,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5815.04
38,2016-04-03,69,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7164.96
39,2016-04-10,79,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,8203.36
40,2016-04-17,59,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6126.56
41,2016-04-24,65,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6749.6
42,2016-05-01,67,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6957.28
43,2016-05-08,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7268.8
44,2016-05-15,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7268.8
45,2016-05-22,48,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,4984.32
46,2016-05-29,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,7061.12
47,2016-06-05,59,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,6126.56
48,2016-06-12,51,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,10384,5295.84
