,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,71,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9011.32
1,2015-07-19,59,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7488.28
2,2015-07-26,57,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7234.44
3,2015-08-02,75,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9519.0
4,2015-08-09,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6219.08
5,2015-08-16,73,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9265.16
6,2015-08-23,93,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11803.56
7,2015-08-30,95,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12057.4
8,2015-09-06,91,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11549.72
9,2015-09-13,73,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9265.16
10,2015-09-20,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6472.92
11,2015-09-27,57,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7234.44
12,2015-10-04,80,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10153.6
13,2015-10-11,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6853.68
14,2015-10-18,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8249.8
15,2015-10-25,42,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,5330.64
16,2015-11-01,88,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11168.96
17,2015-11-08,96,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12184.32
18,2015-11-15,72,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9138.24
19,2015-11-22,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6726.76
20,2015-11-29,68,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8630.56
21,2015-12-06,84,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10661.28
22,2015-12-13,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6980.6
23,2015-12-20,17,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,2157.64
24,2015-12-27,26,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,3299.92
25,2016-01-03,45,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,5711.4
26,2016-01-10,32,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,4061.44
27,2016-01-17,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7107.52
28,2016-01-24,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7995.96
29,2016-01-31,64,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8122.88
30,2016-02-07,76,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9645.92
31,2016-02-14,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8503.64
32,2016-02-21,98,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12438.16
33,2016-02-28,84,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10661.28
34,2016-03-06,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6980.6
35,2016-03-13,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6472.92
36,2016-03-20,61,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7742.12
37,2016-03-27,52,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6599.84
38,2016-04-03,47,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,5965.24
39,2016-04-10,79,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10026.68
40,2016-04-17,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6980.6
41,2016-04-24,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7995.96
42,2016-05-01,77,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9772.84
43,2016-05-08,40,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,5076.8
44,2016-05-15,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7107.52
45,2016-05-22,77,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9772.84
46,2016-05-29,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6726.76
47,2016-06-05,77,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9772.84
48,2016-06-12,60,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7615.2
49,2016-06-19,70,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8884.4
50,2016-06-26,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8249.8
51,2016-07-03,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7107.52
