,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,85,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19615.384615384617
1,2015-07-19,90,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20769.23076923077
2,2015-07-26,77,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
3,2015-08-02,81,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
4,2015-08-09,86,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
5,2015-08-16,100,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
6,2015-08-23,84,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
7,2015-08-30,86,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
8,2015-09-06,96,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,22153.846153846156
9,2015-09-13,88,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
10,2015-09-20,97,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,22384.615384615387
11,2015-09-27,84,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
12,2015-10-04,86,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
13,2015-10-11,100,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
14,2015-10-18,94,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,21692.307692307695
15,2015-10-25,84,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
16,2015-11-01,92,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,21230.76923076923
17,2015-11-08,89,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20538.46153846154
18,2015-11-15,80,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
19,2015-11-22,66,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
20,2015-11-29,79,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18230.769230769234
21,2015-12-06,81,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
22,2015-12-13,77,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
23,2015-12-20,54,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,12461.538461538463
