,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,53,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,6726.76
1,2015-07-19,56,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7107.52
2,2015-07-26,56,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7107.52
3,2015-08-02,62,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7869.04
4,2015-08-09,60,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7615.2
5,2015-08-16,67,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8503.64
6,2015-08-23,73,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9265.16
7,2015-08-30,71,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9011.32
8,2015-09-06,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8249.8
9,2015-09-13,58,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7361.36
10,2015-09-20,59,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7488.28
11,2015-09-27,69,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8757.48
12,2015-10-04,61,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7742.12
13,2015-10-11,62,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7869.04
14,2015-10-18,63,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7995.96
15,2015-10-25,68,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8630.56
16,2015-11-01,69,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8757.48
17,2015-11-08,64,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8122.88
18,2015-11-15,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8249.8
19,2015-11-22,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,6599.84
20,2015-11-29,83,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10534.36
21,2015-12-06,71,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9011.32
22,2015-12-13,70,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8884.4
23,2015-12-20,49,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,6219.08
24,2015-12-27,61,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7742.12
25,2016-01-03,94,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11930.48
26,2016-01-10,63,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7995.96
27,2016-01-17,51,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,6472.92
28,2016-01-24,56,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7107.52
29,2016-01-31,45,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,5711.4
30,2016-02-07,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,5076.8
31,2016-02-14,36,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,4569.12
32,2016-02-21,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,5457.56
33,2016-02-28,47,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,5965.24
34,2016-03-06,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,5457.56
35,2016-03-13,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,4949.88
36,2016-03-20,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,4949.88
