,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,57,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13153.846153846154
1,2015-07-19,62,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
2,2015-07-26,59,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
3,2015-08-02,56,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,12923.076923076926
4,2015-08-09,57,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13153.846153846154
5,2015-08-16,64,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
6,2015-08-23,61,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
7,2015-08-30,60,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13846.153846153848
8,2015-09-06,64,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
9,2015-09-13,58,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
10,2015-09-20,61,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
11,2015-09-27,58,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
12,2015-10-04,66,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
13,2015-10-11,63,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
14,2015-10-18,64,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
15,2015-10-25,61,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
16,2015-11-01,59,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
17,2015-11-08,69,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15923.076923076926
18,2015-11-15,66,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
19,2015-11-22,56,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,12923.076923076926
20,2015-11-29,66,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
21,2015-12-06,81,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
