,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,49,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,621.81
1,2015-07-19,31,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,393.39
2,2015-07-26,44,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,558.36
3,2015-08-02,75,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,951.75
4,2015-08-09,66,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,837.54
5,2015-08-16,78,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,989.82
6,2015-08-23,73,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,926.37
7,2015-08-30,72,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,913.68
8,2015-09-06,76,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,964.44
9,2015-09-13,45,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,571.05
10,2015-09-20,75,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,951.75
11,2015-09-27,49,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,621.81
12,2015-10-04,49,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,621.81
13,2015-10-11,53,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,672.57
14,2015-10-18,65,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,824.85
15,2015-10-25,44,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,558.36
16,2015-11-01,36,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,456.84
17,2015-11-08,53,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,672.57
18,2015-11-15,60,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,761.4
19,2015-11-22,65,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,824.85
20,2015-11-29,40,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,507.6
21,2015-12-06,48,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,609.12
22,2015-12-13,45,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,571.05
23,2015-12-20,14,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,177.66
24,2015-12-27,27,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,342.63
25,2016-01-03,60,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,761.4
26,2016-01-10,29,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,368.01
27,2016-01-17,38,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,482.22
28,2016-01-24,51,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,647.19
29,2016-01-31,59,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,748.71
30,2016-02-07,30,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,380.7
31,2016-02-14,46,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,583.74
32,2016-02-21,37,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,469.53
33,2016-02-28,33,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,418.77
34,2016-03-06,54,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,685.26
35,2016-03-13,59,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,748.71
36,2016-03-20,45,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,571.05
37,2016-03-27,59,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,748.71
38,2016-04-03,55,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,697.95
39,2016-04-10,55,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,697.95
40,2016-04-17,50,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,634.5
41,2016-04-24,46,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,583.74
42,2016-05-01,51,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,647.19
43,2016-05-08,25,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,317.25
44,2016-05-15,25,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,317.25
45,2016-05-22,39,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,494.91
46,2016-05-29,82,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,1040.58
47,2016-06-05,38,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,482.22
48,2016-06-12,60,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,761.4
49,2016-06-19,57,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,723.33
50,2016-06-26,26,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,329.94
51,2016-07-03,46,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,583.74
52,2016-07-10,63,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,799.47
53,2016-07-17,59,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,748.71
54,2016-07-24,23,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,291.87
55,2016-07-31,50,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,634.5
56,2016-08-07,33,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,418.77
57,2016-08-14,62,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,786.78
58,2016-08-21,41,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,520.29
59,2016-08-28,49,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,621.81
60,2016-09-04,53,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,672.57
61,2016-09-11,66,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,837.54
62,2016-09-18,74,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,939.06
63,2016-09-25,39,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,494.91
64,2016-10-02,43,False,Documents,Daily Report,Daily Report template,230.76923076923077,2307.6923076923076,98,1269,545.67
