,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
1,2015-07-19,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
2,2015-07-26,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
3,2015-08-02,52,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,659.88
4,2015-08-09,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
5,2015-08-16,51,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,647.19
6,2015-08-23,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
7,2015-08-30,50,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,634.5
8,2015-09-06,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
9,2015-09-13,49,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,621.81
10,2015-09-20,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
11,2015-09-27,73,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,926.37
12,2015-10-04,48,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,609.12
13,2015-10-11,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
14,2015-10-18,97,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1230.93
15,2015-10-25,96,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1218.24
16,2015-11-01,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
17,2015-11-08,48,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,609.12
18,2015-11-15,48,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,609.12
19,2015-11-22,96,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1218.24
20,2015-11-29,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
21,2015-12-06,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
22,2015-12-13,99,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1256.31
23,2015-12-20,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
24,2015-12-27,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
25,2016-01-03,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
26,2016-01-10,50,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,634.5
27,2016-01-17,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
28,2016-01-24,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
29,2016-01-31,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
30,2016-02-07,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
31,2016-02-14,74,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,939.06
32,2016-02-21,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
33,2016-02-28,49,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,621.81
34,2016-03-06,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
35,2016-03-13,50,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,634.5
36,2016-03-20,51,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,647.19
37,2016-03-27,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
38,2016-04-03,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
39,2016-04-10,67,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,850.23
40,2016-04-17,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
41,2016-04-24,100,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1269.0
