,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
1,2015-07-19,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
2,2015-07-26,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
3,2015-08-02,36,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,830.7692307692308
4,2015-08-09,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
5,2015-08-16,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
6,2015-08-23,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
7,2015-08-30,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
8,2015-09-06,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
9,2015-09-13,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
10,2015-09-20,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
11,2015-09-27,45,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1038.4615384615383
12,2015-10-04,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
13,2015-10-11,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
14,2015-10-18,44,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1015.3846153846154
15,2015-10-25,27,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,623.0769230769231
16,2015-11-01,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
17,2015-11-08,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
18,2015-11-15,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
19,2015-11-22,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
20,2015-11-29,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
21,2015-12-06,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
22,2015-12-13,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
23,2015-12-20,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
24,2015-12-27,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
25,2016-01-03,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
26,2016-01-10,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
27,2016-01-17,58,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1338.4615384615383
28,2016-01-24,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
29,2016-01-31,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
30,2016-02-07,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
31,2016-02-14,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
