,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,17,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,176.46
1,2015-07-19,50,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,519.0
2,2015-07-26,27,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,280.26
3,2015-08-02,28,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,290.64
4,2015-08-09,27,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,280.26
5,2015-08-16,32,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,332.16
6,2015-08-23,37,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,384.06
7,2015-08-30,40,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,415.2
8,2015-09-06,26,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,269.88
9,2015-09-13,51,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,529.38
10,2015-09-20,36,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,373.68
11,2015-09-27,46,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,477.48
12,2015-10-04,41,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,425.58
13,2015-10-11,26,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,269.88
14,2015-10-18,46,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,477.48
15,2015-10-25,35,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,363.3
16,2015-11-01,61,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,633.18
17,2015-11-08,46,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,477.48
18,2015-11-15,50,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,519.0
19,2015-11-22,38,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,394.44
20,2015-11-29,45,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,467.1
21,2015-12-06,25,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,259.5
22,2015-12-13,70,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,726.6
23,2015-12-20,46,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,477.48
24,2015-12-27,80,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,830.4
25,2016-01-03,24,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,249.12
26,2016-01-10,58,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,602.04
27,2016-01-17,43,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,446.34
28,2016-01-24,58,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,602.04
29,2016-01-31,37,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,384.06
30,2016-02-07,16,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,166.08
31,2016-02-14,52,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,539.76
32,2016-02-21,31,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,321.78
33,2016-02-28,26,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,269.88
34,2016-03-06,26,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,269.88
35,2016-03-13,52,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,539.76
36,2016-03-20,22,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,228.36
37,2016-03-27,40,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,415.2
38,2016-04-03,42,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,435.96
39,2016-04-10,31,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,321.78
40,2016-04-17,58,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,602.04
41,2016-04-24,53,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,550.14
42,2016-05-01,48,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,498.24
43,2016-05-08,63,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,653.94
44,2016-05-15,32,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,332.16
45,2016-05-22,54,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,560.52
46,2016-05-29,38,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,394.44
47,2016-06-05,43,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,446.34
48,2016-06-12,74,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,768.12
49,2016-06-19,38,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,394.44
50,2016-06-26,38,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,394.44
51,2016-07-03,52,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,539.76
52,2016-07-10,50,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,519.0
53,2016-07-17,57,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,591.66
54,2016-07-24,62,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,643.56
55,2016-07-31,58,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,602.04
56,2016-08-07,35,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,363.3
57,2016-08-14,18,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,186.84
58,2016-08-21,40,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,415.2
59,2016-08-28,41,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,425.58
60,2016-09-04,50,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,519.0
61,2016-09-11,44,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,456.72
62,2016-09-18,70,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,726.6
63,2016-09-25,22,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,228.36
64,2016-10-02,53,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,550.14
65,2016-10-09,33,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,342.54
66,2016-10-16,69,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,716.22
67,2016-10-23,43,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,446.34
68,2016-10-30,64,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,664.32
69,2016-11-06,52,False,Social Media,Facebook Post,Facebook Post template,230.76923076923077,2307.6923076923076,2214,1038,539.76
