,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,74,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,17076.923076923078
1,2015-07-19,78,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18000.0
2,2015-07-26,70,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16153.846153846154
3,2015-08-02,71,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16384.615384615387
4,2015-08-09,75,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,17307.69230769231
5,2015-08-16,66,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15230.769230769232
6,2015-08-23,78,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18000.0
7,2015-08-30,71,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16384.615384615387
8,2015-09-06,78,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18000.0
9,2015-09-13,89,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,20538.46153846154
10,2015-09-20,85,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,19615.384615384617
11,2015-09-27,85,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,19615.384615384617
12,2015-10-04,94,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,21692.307692307695
13,2015-10-11,100,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,23076.923076923078
14,2015-10-18,85,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,19615.384615384617
15,2015-10-25,82,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18923.076923076926
16,2015-11-01,86,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,19846.153846153848
17,2015-11-08,84,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,19384.615384615387
18,2015-11-15,82,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18923.076923076926
19,2015-11-22,72,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16615.384615384613
20,2015-11-29,79,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,18230.769230769234
21,2015-12-06,77,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,17769.23076923077
22,2015-12-13,61,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,14076.923076923078
23,2015-12-20,37,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,8538.461538461539
24,2015-12-27,44,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,10153.846153846154
25,2016-01-03,69,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15923.076923076926
26,2016-01-10,66,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15230.769230769232
27,2016-01-17,65,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15000.0
28,2016-01-24,66,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15230.769230769232
29,2016-01-31,68,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15692.307692307693
30,2016-02-07,74,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,17076.923076923078
31,2016-02-14,66,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,15230.769230769232
32,2016-02-21,71,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16384.615384615387
33,2016-02-28,76,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,17538.46153846154
34,2016-03-06,87,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,20076.923076923078
35,2016-03-13,72,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,16615.384615384613
36,2016-03-20,61,False,Marketing,Flyer,Flyer template,2307.6923076923076,23076.923076923078,2494,12692,14076.923076923078
