,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,10,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2307.6923076923076
1,2015-07-19,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
2,2015-07-26,8,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1846.1538461538462
3,2015-08-02,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
4,2015-08-09,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
5,2015-08-16,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
6,2015-08-23,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
7,2015-08-30,10,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2307.6923076923076
8,2015-09-06,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
9,2015-09-13,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
10,2015-09-20,13,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3000.0
11,2015-09-27,10,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2307.6923076923076
12,2015-10-04,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
13,2015-10-11,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
14,2015-10-18,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
15,2015-10-25,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
16,2015-11-01,13,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3000.0
17,2015-11-08,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
18,2015-11-15,17,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3923.0769230769233
19,2015-11-22,15,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3461.538461538462
20,2015-11-29,23,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,5307.692307692308
21,2015-12-06,29,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,6692.307692307692
22,2015-12-13,50,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,11538.461538461539
23,2015-12-20,100,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,23076.923076923078
24,2015-12-27,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
