,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,22,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,2792.24
1,2015-07-19,15,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,1903.8
2,2015-07-26,35,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4442.2
3,2015-08-02,29,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,3680.68
4,2015-08-09,23,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,2919.16
5,2015-08-16,23,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,2919.16
6,2015-08-23,38,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4822.96
7,2015-08-30,43,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,5457.56
8,2015-09-06,25,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,3173.0
9,2015-09-13,32,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4061.44
10,2015-09-20,25,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,3173.0
11,2015-09-27,35,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4442.2
12,2015-10-04,32,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4061.44
13,2015-10-11,45,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,5711.4
14,2015-10-18,37,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4696.04
15,2015-10-25,41,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,5203.72
16,2015-11-01,39,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4949.88
17,2015-11-08,31,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,3934.52
18,2015-11-15,41,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,5203.72
19,2015-11-22,47,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,5965.24
20,2015-11-29,36,False,Marketing,Infographic,Infographic template,2307.6923076923076,23076.923076923078,100,12692,4569.12
