,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
1,2015-07-19,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
2,2015-07-26,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,0.0
3,2015-08-02,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,0.0
4,2015-08-09,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,0.0
5,2015-08-16,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
6,2015-08-23,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
7,2015-08-30,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
8,2015-09-06,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
9,2015-09-13,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
10,2015-09-20,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
11,2015-09-27,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
12,2015-10-04,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
13,2015-10-11,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
14,2015-10-18,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
15,2015-10-25,8,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,830.72
16,2015-11-01,9,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,934.56
17,2015-11-08,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
18,2015-11-15,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
19,2015-11-22,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
20,2015-11-29,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
21,2015-12-06,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
22,2015-12-13,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
23,2015-12-20,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
24,2015-12-27,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,0.0
25,2016-01-03,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
26,2016-01-10,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
27,2016-01-17,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
28,2016-01-24,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
29,2016-01-31,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
30,2016-02-07,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
31,2016-02-14,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
32,2016-02-21,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
33,2016-02-28,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
34,2016-03-06,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
35,2016-03-13,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
36,2016-03-20,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,0.0
37,2016-03-27,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
38,2016-04-03,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
39,2016-04-10,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
40,2016-04-17,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
41,2016-04-24,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
42,2016-05-01,9,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,934.56
43,2016-05-08,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
44,2016-05-15,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
45,2016-05-22,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
46,2016-05-29,23,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2388.32
47,2016-06-05,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
48,2016-06-12,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
49,2016-06-19,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
50,2016-06-26,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
51,2016-07-03,28,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2907.52
52,2016-07-10,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
53,2016-07-17,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
54,2016-07-24,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
55,2016-07-31,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
56,2016-08-07,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
57,2016-08-14,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
58,2016-08-21,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
59,2016-08-28,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
60,2016-09-04,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
61,2016-09-11,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
62,2016-09-18,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
63,2016-09-25,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
64,2016-10-02,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
65,2016-10-09,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
66,2016-10-16,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
67,2016-10-23,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
68,2016-10-30,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
69,2016-11-06,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
70,2016-11-13,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
71,2016-11-20,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
72,2016-11-27,9,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,934.56
73,2016-12-04,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
74,2016-12-11,8,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,830.72
75,2016-12-18,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
76,2016-12-25,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,726.88
77,2017-01-01,19,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1972.96
78,2017-01-08,8,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,830.72
79,2017-01-15,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
80,2017-01-22,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
81,2017-01-29,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
82,2017-02-05,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
83,2017-02-12,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
84,2017-02-19,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
85,2017-02-26,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
86,2017-03-05,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
87,2017-03-12,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
88,2017-03-19,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
89,2017-03-26,8,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,830.72
90,2017-04-02,20,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2076.8
91,2017-04-09,9,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,934.56
92,2017-04-16,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
93,2017-04-23,20,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2076.8
94,2017-04-30,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
95,2017-05-07,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
96,2017-05-14,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
97,2017-05-21,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
98,2017-05-28,9,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,934.56
99,2017-06-04,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
100,2017-06-11,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
101,2017-06-18,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
102,2017-06-25,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
103,2017-07-02,17,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1765.28
104,2017-07-09,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
105,2017-07-16,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
106,2017-07-23,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,623.04
107,2017-07-30,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
108,2017-08-06,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
109,2017-08-13,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
110,2017-08-20,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
111,2017-08-27,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1038.4
112,2017-09-03,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
113,2017-09-10,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
114,2017-09-17,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
115,2017-09-24,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
116,2017-10-01,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
117,2017-10-08,30,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3115.2
118,2017-10-15,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
119,2017-10-22,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
120,2017-10-29,12,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1246.08
121,2017-11-05,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1453.76
122,2017-11-12,29,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3011.36
123,2017-11-19,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
124,2017-11-26,19,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1972.96
125,2017-12-03,22,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2284.48
126,2017-12-10,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
127,2017-12-17,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1661.44
128,2017-12-24,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
129,2017-12-31,18,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1869.12
130,2018-01-07,30,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3115.2
131,2018-01-14,11,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1142.24
132,2018-01-21,23,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2388.32
133,2018-01-28,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1349.92
134,2018-02-04,17,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1765.28
135,2018-02-11,36,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3738.24
136,2018-02-18,41,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4257.44
137,2018-02-25,24,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2492.16
138,2018-03-04,26,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2699.84
139,2018-03-11,51,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,5295.84
140,2018-03-18,19,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1972.96
141,2018-03-25,33,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3426.72
142,2018-04-01,17,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1765.28
143,2018-04-08,24,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2492.16
144,2018-04-15,25,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2596.0
145,2018-04-22,30,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3115.2
146,2018-04-29,39,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4049.76
147,2018-05-06,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
148,2018-05-13,33,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3426.72
149,2018-05-20,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
150,2018-05-27,29,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3011.36
151,2018-06-03,44,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4568.96
152,2018-06-10,35,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3634.4
153,2018-06-17,25,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2596.0
154,2018-06-24,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
155,2018-07-01,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
156,2018-07-08,19,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1972.96
157,2018-07-15,27,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2803.68
158,2018-07-22,27,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2803.68
159,2018-07-29,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2180.64
160,2018-08-05,22,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2284.48
161,2018-08-12,15,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,1557.6
162,2018-08-19,23,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2388.32
163,2018-08-26,23,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2388.32
164,2018-09-02,26,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2699.84
165,2018-09-09,41,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4257.44
166,2018-09-16,42,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4361.28
167,2018-09-23,35,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3634.4
168,2018-09-30,39,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4049.76
169,2018-10-07,22,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2284.48
170,2018-10-14,30,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3115.2
171,2018-10-21,34,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3530.56
172,2018-10-28,37,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3842.08
173,2018-11-04,35,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3634.4
174,2018-11-11,41,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4257.44
175,2018-11-18,20,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2076.8
176,2018-11-25,46,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,4776.64
177,2018-12-02,30,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,3115.2
178,2018-12-09,23,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,10384,2388.32
