,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,68,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
1,2015-07-19,87,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,20076.923076923078
2,2015-07-26,88,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,20307.69230769231
3,2015-08-02,83,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,19153.846153846156
4,2015-08-09,78,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18000.0
5,2015-08-16,79,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18230.769230769234
6,2015-08-23,78,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18000.0
7,2015-08-30,91,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,21000.0
8,2015-09-06,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
9,2015-09-13,71,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
10,2015-09-20,82,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18923.076923076926
11,2015-09-27,78,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18000.0
12,2015-10-04,73,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
13,2015-10-11,83,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,19153.846153846156
14,2015-10-18,69,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
15,2015-10-25,78,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,18000.0
16,2015-11-01,76,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
17,2015-11-08,75,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
18,2015-11-15,76,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
19,2015-11-22,57,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13153.846153846154
20,2015-11-29,100,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,23076.923076923078
