,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,81,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8411.04
1,2015-07-19,73,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7580.32
2,2015-07-26,83,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8618.72
3,2015-08-02,78,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8099.52
4,2015-08-09,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9137.92
5,2015-08-16,86,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8930.24
6,2015-08-23,85,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8826.4
7,2015-08-30,84,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8722.56
8,2015-09-06,100,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,10384.0
9,2015-09-13,80,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8307.2
10,2015-09-20,90,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9345.6
11,2015-09-27,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8514.88
12,2015-10-04,85,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8826.4
13,2015-10-11,83,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8618.72
14,2015-10-18,97,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,10072.48
15,2015-10-25,100,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,10384.0
16,2015-11-01,85,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8826.4
17,2015-11-08,95,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9864.8
18,2015-11-15,83,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8618.72
19,2015-11-22,79,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8203.36
20,2015-11-29,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9241.76
21,2015-12-06,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9137.92
22,2015-12-13,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9241.76
23,2015-12-20,69,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7164.96
24,2015-12-27,60,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,6230.4
25,2016-01-03,75,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7788.0
26,2016-01-10,78,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8099.52
27,2016-01-17,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9137.92
28,2016-01-24,91,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9449.44
29,2016-01-31,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9241.76
30,2016-02-07,78,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8099.52
31,2016-02-14,84,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8722.56
32,2016-02-21,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8514.88
33,2016-02-28,90,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9345.6
34,2016-03-06,86,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8930.24
35,2016-03-13,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9241.76
36,2016-03-20,81,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8411.04
37,2016-03-27,87,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9034.08
38,2016-04-03,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9241.76
39,2016-04-10,94,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9760.96
40,2016-04-17,85,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8826.4
41,2016-04-24,83,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8618.72
42,2016-05-01,80,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8307.2
43,2016-05-08,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9137.92
44,2016-05-15,91,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9449.44
45,2016-05-22,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9137.92
46,2016-05-29,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8514.88
47,2016-06-05,87,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9034.08
48,2016-06-12,87,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,9034.08
49,2016-06-19,75,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7788.0
50,2016-06-26,72,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7476.48
51,2016-07-03,67,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,6957.28
52,2016-07-10,78,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,8099.52
53,2016-07-17,75,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7788.0
54,2016-07-24,74,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7684.16
55,2016-07-31,74,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7684.16
56,2016-08-07,68,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,10384,7061.12
