,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,73,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7580.32
1,2015-07-19,79,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,8203.36
2,2015-07-26,69,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7164.96
3,2015-08-02,65,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,6749.6
4,2015-08-09,72,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7476.48
5,2015-08-16,75,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7788.0
6,2015-08-23,74,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7684.16
7,2015-08-30,100,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,10384.0
8,2015-09-06,88,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9137.92
9,2015-09-13,93,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9657.12
10,2015-09-20,82,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,8514.88
11,2015-09-27,89,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9241.76
12,2015-10-04,95,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9864.8
13,2015-10-11,99,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,10280.16
14,2015-10-18,58,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,6022.72
15,2015-10-25,86,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,8930.24
16,2015-11-01,85,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,8826.4
17,2015-11-08,78,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,8099.52
18,2015-11-15,88,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9137.92
19,2015-11-22,67,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,6957.28
20,2015-11-29,91,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,9449.44
21,2015-12-06,69,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,7164.96
22,2015-12-13,55,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,5711.2
23,2015-12-20,38,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,3945.92
24,2015-12-27,23,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,10384,2388.32
