,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,17,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,2157.64
1,2015-07-19,32,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4061.44
2,2015-07-26,25,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3173.0
3,2015-08-02,20,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,2538.4
4,2015-08-09,27,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3426.84
5,2015-08-16,17,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,2157.64
6,2015-08-23,35,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4442.2
7,2015-08-30,28,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3553.76
8,2015-09-06,37,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4696.04
9,2015-09-13,45,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5711.4
10,2015-09-20,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5203.72
11,2015-09-27,38,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4822.96
12,2015-10-04,43,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5457.56
13,2015-10-11,32,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4061.44
14,2015-10-18,29,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3680.68
15,2015-10-25,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4569.12
16,2015-11-01,38,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4822.96
17,2015-11-08,47,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5965.24
18,2015-11-15,58,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7361.36
19,2015-11-22,33,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4188.36
20,2015-11-29,24,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3046.08
21,2015-12-06,38,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4822.96
22,2015-12-13,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5203.72
23,2015-12-20,20,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,2538.4
24,2015-12-27,15,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,1903.8
25,2016-01-03,17,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,2157.64
26,2016-01-10,37,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4696.04
