,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,88,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,9137.92
1,2015-07-19,57,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,5918.88
2,2015-07-26,61,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6334.24
3,2015-08-02,68,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7061.12
4,2015-08-09,72,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7476.48
5,2015-08-16,75,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7788.0
6,2015-08-23,90,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,9345.6
7,2015-08-30,89,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,9241.76
8,2015-09-06,86,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8930.24
9,2015-09-13,82,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8514.88
10,2015-09-20,86,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8930.24
11,2015-09-27,83,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8618.72
12,2015-10-04,82,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8514.88
13,2015-10-11,61,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6334.24
14,2015-10-18,78,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8099.52
15,2015-10-25,76,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7891.84
16,2015-11-01,84,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8722.56
17,2015-11-08,66,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6853.44
18,2015-11-15,66,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6853.44
19,2015-11-22,65,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6749.6
20,2015-11-29,100,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,10384.0
21,2015-12-06,85,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8826.4
22,2015-12-13,82,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8514.88
23,2015-12-20,45,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,4672.8
24,2015-12-27,42,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,4361.28
25,2016-01-03,73,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7580.32
26,2016-01-10,67,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6957.28
27,2016-01-17,65,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6749.6
28,2016-01-24,69,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7164.96
29,2016-01-31,78,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8099.52
30,2016-02-07,72,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,7476.48
31,2016-02-14,59,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6126.56
32,2016-02-21,56,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,5815.04
33,2016-02-28,65,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6749.6
34,2016-03-06,80,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,8307.2
35,2016-03-13,64,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,6645.76
36,2016-03-20,57,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,5918.88
37,2016-03-27,53,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,10384,5503.52
