,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,57,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,723.33
1,2015-07-19,61,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,774.09
2,2015-07-26,63,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,799.47
3,2015-08-02,56,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,710.64
4,2015-08-09,72,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,913.68
5,2015-08-16,47,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,596.43
6,2015-08-23,78,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,989.82
7,2015-08-30,38,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,482.22
8,2015-09-06,46,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,583.74
9,2015-09-13,74,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,939.06
10,2015-09-20,23,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,291.87
11,2015-09-27,37,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,469.53
12,2015-10-04,77,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,977.13
13,2015-10-11,30,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,380.7
14,2015-10-18,66,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,837.54
15,2015-10-25,88,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,1116.72
16,2015-11-01,77,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,977.13
17,2015-11-08,30,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,380.7
18,2015-11-15,58,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,736.02
19,2015-11-22,73,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,926.37
20,2015-11-29,58,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,736.02
21,2015-12-06,73,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,926.37
22,2015-12-13,45,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,571.05
23,2015-12-20,50,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,634.5
24,2015-12-27,100,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,1269.0
25,2016-01-03,23,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,291.87
26,2016-01-10,38,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,482.22
27,2016-01-17,46,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,583.74
28,2016-01-24,54,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,685.26
29,2016-01-31,31,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,393.39
30,2016-02-07,69,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,875.61
31,2016-02-14,80,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,1015.2
32,2016-02-21,53,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,672.57
33,2016-02-28,78,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,989.82
34,2016-03-06,23,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,291.87
35,2016-03-13,53,False,Personal,Photo Book,Photo Book template,230.76923076923077,2307.6923076923076,22,1269,672.57
