,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,60,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7615.2
1,2015-07-19,73,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,9265.16
2,2015-07-26,62,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7869.04
3,2015-08-02,73,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,9265.16
4,2015-08-09,72,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,9138.24
5,2015-08-16,79,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,10026.68
6,2015-08-23,79,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,10026.68
7,2015-08-30,92,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,11676.64
8,2015-09-06,69,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8757.48
9,2015-09-13,66,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8376.72
10,2015-09-20,61,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7742.12
11,2015-09-27,68,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8630.56
12,2015-10-04,59,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7488.28
13,2015-10-11,64,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8122.88
14,2015-10-18,69,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8757.48
15,2015-10-25,65,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8249.8
16,2015-11-01,67,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8503.64
17,2015-11-08,60,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7615.2
18,2015-11-15,54,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6853.68
19,2015-11-22,50,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6346.0
20,2015-11-29,62,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7869.04
21,2015-12-06,50,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6346.0
22,2015-12-13,61,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7742.12
23,2015-12-20,44,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5584.48
24,2015-12-27,58,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7361.36
25,2016-01-03,98,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,12438.16
26,2016-01-10,84,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,10661.28
27,2016-01-17,68,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8630.56
28,2016-01-24,59,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7488.28
29,2016-01-31,64,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,8122.88
30,2016-02-07,52,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6599.84
31,2016-02-14,57,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7234.44
32,2016-02-21,62,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7869.04
33,2016-02-28,51,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6472.92
34,2016-03-06,54,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6853.68
35,2016-03-13,53,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6726.76
36,2016-03-20,43,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5457.56
37,2016-03-27,48,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6092.16
38,2016-04-03,48,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6092.16
39,2016-04-10,53,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6726.76
40,2016-04-17,43,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5457.56
41,2016-04-24,49,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6219.08
42,2016-05-01,44,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5584.48
43,2016-05-08,51,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6472.92
44,2016-05-15,46,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5838.32
45,2016-05-22,51,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6472.92
46,2016-05-29,40,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5076.8
47,2016-06-05,46,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5838.32
48,2016-06-12,51,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6472.92
49,2016-06-19,48,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6092.16
50,2016-06-26,46,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5838.32
51,2016-07-03,50,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6346.0
52,2016-07-10,50,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6346.0
53,2016-07-17,54,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6853.68
54,2016-07-24,47,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5965.24
55,2016-07-31,43,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,5457.56
56,2016-08-07,56,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,7107.52
57,2016-08-14,49,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,6219.08
