,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,61,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,14076.923076923078
1,2015-07-19,61,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,14076.923076923078
2,2015-07-26,70,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,16153.846153846154
3,2015-08-02,53,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,12230.769230769232
4,2015-08-09,88,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,20307.69230769231
5,2015-08-16,69,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,15923.076923076926
6,2015-08-23,85,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,19615.384615384617
7,2015-08-30,88,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,20307.69230769231
8,2015-09-06,73,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,16846.153846153848
9,2015-09-13,66,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,15230.769230769232
10,2015-09-20,72,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,16615.384615384613
11,2015-09-27,59,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,13615.384615384615
12,2015-10-04,87,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,20076.923076923078
13,2015-10-11,80,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,18461.53846153846
14,2015-10-18,66,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,15230.769230769232
15,2015-10-25,66,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,15230.769230769232
16,2015-11-01,87,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,20076.923076923078
17,2015-11-08,82,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,18923.076923076926
18,2015-11-15,100,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,23076.923076923078
19,2015-11-22,68,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,15692.307692307693
20,2015-11-29,62,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,14307.692307692307
21,2015-12-06,82,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,18923.076923076926
22,2015-12-13,77,False,Personal,Postcard,Postcard template,2307.6923076923076,23076.923076923078,1294,12692,17769.23076923077
