,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,65,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
1,2015-07-19,62,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
2,2015-07-26,61,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
3,2015-08-02,55,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,12692.307692307693
4,2015-08-09,62,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
5,2015-08-16,66,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
6,2015-08-23,72,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16615.384615384613
7,2015-08-30,76,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17538.46153846154
8,2015-09-06,75,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17307.69230769231
9,2015-09-13,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
10,2015-09-20,74,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17076.923076923078
11,2015-09-27,82,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
12,2015-10-04,94,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21692.307692307695
13,2015-10-11,88,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
14,2015-10-18,88,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
15,2015-10-25,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
16,2015-11-01,95,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21923.076923076926
17,2015-11-08,88,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
18,2015-11-15,92,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21230.76923076923
19,2015-11-22,87,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20076.923076923078
20,2015-11-29,97,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,22384.615384615387
21,2015-12-06,80,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
22,2015-12-13,58,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
23,2015-12-20,42,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,9692.307692307693
24,2015-12-27,39,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,9000.0
25,2016-01-03,59,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
26,2016-01-10,61,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
27,2016-01-17,66,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
28,2016-01-24,62,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
29,2016-01-31,73,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
30,2016-02-07,78,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
31,2016-02-14,74,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17076.923076923078
32,2016-02-21,86,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
33,2016-02-28,85,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19615.384615384617
34,2016-03-06,84,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
35,2016-03-13,75,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17307.69230769231
36,2016-03-20,69,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15923.076923076926
37,2016-03-27,82,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
38,2016-04-03,95,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21923.076923076926
39,2016-04-10,100,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
40,2016-04-17,90,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20769.23076923077
41,2016-04-24,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
42,2016-05-01,86,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
43,2016-05-08,85,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19615.384615384617
44,2016-05-15,81,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
45,2016-05-22,76,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17538.46153846154
46,2016-05-29,63,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
47,2016-06-05,62,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
48,2016-06-12,58,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
49,2016-06-19,58,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
50,2016-06-26,57,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13153.846153846154
51,2016-07-03,44,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,10153.846153846154
52,2016-07-10,52,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,12000.0
53,2016-07-17,63,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
54,2016-07-24,50,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,11538.461538461539
55,2016-07-31,51,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,11769.23076923077
56,2016-08-07,52,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,12000.0
57,2016-08-14,55,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,12692.307692307693
58,2016-08-21,59,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
59,2016-08-28,59,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
60,2016-09-04,62,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
61,2016-09-11,71,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
62,2016-09-18,79,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18230.769230769234
