,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,79,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1002.51
1,2015-07-19,89,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1129.41
2,2015-07-26,84,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1065.96
3,2015-08-02,50,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,634.5
4,2015-08-09,95,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1205.55
5,2015-08-16,94,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1192.86
6,2015-08-23,55,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,697.95
7,2015-08-30,44,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,558.36
8,2015-09-06,74,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,939.06
9,2015-09-13,86,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1091.34
10,2015-09-20,60,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,761.4
11,2015-09-27,66,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,837.54
12,2015-10-04,59,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,748.71
13,2015-10-11,63,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,799.47
14,2015-10-18,91,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1154.79
15,2015-10-25,78,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,989.82
16,2015-11-01,88,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1116.72
17,2015-11-08,95,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1205.55
18,2015-11-15,91,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1154.79
19,2015-11-22,71,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,900.99
20,2015-11-29,81,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1027.89
21,2015-12-06,78,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,989.82
22,2015-12-13,90,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1142.1
23,2015-12-20,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
24,2015-12-27,26,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,329.94
25,2016-01-03,45,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,571.05
26,2016-01-10,51,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,647.19
27,2016-01-17,72,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,913.68
28,2016-01-24,61,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,774.09
29,2016-01-31,96,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1218.24
30,2016-02-07,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
31,2016-02-14,87,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1104.03
32,2016-02-21,57,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,723.33
33,2016-02-28,99,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1256.31
34,2016-03-06,67,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,850.23
35,2016-03-13,47,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,596.43
36,2016-03-20,62,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,786.78
37,2016-03-27,65,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,824.85
38,2016-04-03,58,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,736.02
39,2016-04-10,54,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,685.26
40,2016-04-17,84,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1065.96
41,2016-04-24,78,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,989.82
42,2016-05-01,55,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,697.95
43,2016-05-08,44,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,558.36
44,2016-05-15,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
45,2016-05-22,69,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,875.61
46,2016-05-29,62,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,786.78
47,2016-06-05,55,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,697.95
48,2016-06-12,86,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1091.34
49,2016-06-19,77,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,977.13
50,2016-06-26,63,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,799.47
51,2016-07-03,52,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,659.88
52,2016-07-10,58,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,736.02
53,2016-07-17,70,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,888.3
54,2016-07-24,33,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,418.77
55,2016-07-31,81,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1027.89
56,2016-08-07,45,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,571.05
57,2016-08-14,54,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,685.26
58,2016-08-21,81,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1027.89
59,2016-08-28,57,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,723.33
60,2016-09-04,61,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,774.09
61,2016-09-11,82,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1040.58
62,2016-09-18,77,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,977.13
63,2016-09-25,66,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,837.54
64,2016-10-02,72,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,913.68
65,2016-10-09,66,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,837.54
66,2016-10-16,61,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,774.09
67,2016-10-23,55,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,697.95
68,2016-10-30,93,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1180.17
69,2016-11-06,84,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1065.96
70,2016-11-13,82,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1040.58
71,2016-11-20,74,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,939.06
72,2016-11-27,39,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,494.91
73,2016-12-04,64,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,812.16
74,2016-12-11,88,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1116.72
75,2016-12-18,56,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,710.64
76,2016-12-25,32,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,406.08
77,2017-01-01,54,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,685.26
78,2017-01-08,51,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,647.19
79,2017-01-15,61,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,774.09
80,2017-01-22,41,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,520.29
81,2017-01-29,72,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,913.68
82,2017-02-05,56,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,710.64
83,2017-02-12,44,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,558.36
84,2017-02-19,44,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,558.36
85,2017-02-26,61,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,774.09
86,2017-03-05,79,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1002.51
87,2017-03-12,49,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,621.81
88,2017-03-19,91,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1154.79
89,2017-03-26,82,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1040.58
90,2017-04-02,50,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,634.5
91,2017-04-09,52,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,659.88
92,2017-04-16,57,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,723.33
93,2017-04-23,69,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,875.61
94,2017-04-30,83,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1053.27
95,2017-05-07,100,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1269.0
96,2017-05-14,46,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,583.74
97,2017-05-21,51,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,647.19
98,2017-05-28,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
99,2017-06-04,59,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,748.71
100,2017-06-11,50,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,634.5
101,2017-06-18,85,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1078.65
102,2017-06-25,65,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,824.85
103,2017-07-02,41,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,520.29
104,2017-07-09,37,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,469.53
105,2017-07-16,37,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,469.53
106,2017-07-23,54,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,685.26
107,2017-07-30,75,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,951.75
108,2017-08-06,26,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,329.94
109,2017-08-13,49,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,621.81
110,2017-08-20,62,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,786.78
111,2017-08-27,46,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,583.74
112,2017-09-03,84,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1065.96
113,2017-09-10,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
114,2017-09-17,70,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,888.3
115,2017-09-24,77,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,977.13
116,2017-10-01,67,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,850.23
117,2017-10-08,83,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1053.27
118,2017-10-15,73,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,926.37
119,2017-10-22,72,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,913.68
120,2017-10-29,66,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,837.54
121,2017-11-05,80,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1015.2
122,2017-11-12,77,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,977.13
123,2017-11-19,68,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,862.92
124,2017-11-26,73,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,926.37
125,2017-12-03,52,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,659.88
126,2017-12-10,55,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,697.95
127,2017-12-17,64,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,812.16
128,2017-12-24,31,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,393.39
129,2017-12-31,45,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,571.05
130,2018-01-07,75,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,951.75
131,2018-01-14,63,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,799.47
132,2018-01-21,41,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,520.29
133,2018-01-28,56,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,710.64
134,2018-02-04,59,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,748.71
135,2018-02-11,48,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,609.12
136,2018-02-18,62,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,786.78
137,2018-02-25,67,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,850.23
138,2018-03-04,85,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1078.65
139,2018-03-11,79,False,Events,Programme,Programme template,230.76923076923077,2307.6923076923076,783,1269,1002.51
