,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
1,2015-07-19,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
2,2015-07-26,42,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,969.2307692307692
3,2015-08-02,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
4,2015-08-09,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
5,2015-08-16,41,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,946.1538461538461
6,2015-08-23,30,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,692.3076923076924
7,2015-08-30,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
8,2015-09-06,37,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,853.8461538461538
9,2015-09-13,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
10,2015-09-20,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
11,2015-09-27,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
12,2015-10-04,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
13,2015-10-11,71,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1638.4615384615383
14,2015-10-18,67,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1546.1538461538462
15,2015-10-25,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
16,2015-11-01,88,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2030.7692307692307
17,2015-11-08,85,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1961.5384615384617
18,2015-11-15,80,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1846.1538461538462
19,2015-11-22,46,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1061.5384615384617
20,2015-11-29,90,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2076.9230769230767
21,2015-12-06,63,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1453.8461538461538
22,2015-12-13,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
23,2015-12-20,24,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,553.8461538461538
24,2015-12-27,24,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,553.8461538461538
25,2016-01-03,56,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1292.3076923076922
26,2016-01-10,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
27,2016-01-17,22,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,507.6923076923077
28,2016-01-24,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
29,2016-01-31,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
30,2016-02-07,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
31,2016-02-14,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
32,2016-02-21,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
33,2016-02-28,39,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,900.0
34,2016-03-06,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
35,2016-03-13,76,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1753.8461538461538
36,2016-03-20,57,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1315.3846153846152
37,2016-03-27,29,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,669.2307692307692
38,2016-04-03,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
39,2016-04-10,84,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1938.4615384615383
40,2016-04-17,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
41,2016-04-24,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
42,2016-05-01,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
43,2016-05-08,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
44,2016-05-15,56,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1292.3076923076922
45,2016-05-22,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
46,2016-05-29,60,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1384.6153846153848
47,2016-06-05,56,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1292.3076923076922
48,2016-06-12,44,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1015.3846153846154
49,2016-06-19,42,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,969.2307692307692
50,2016-06-26,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
51,2016-07-03,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
52,2016-07-10,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
53,2016-07-17,43,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,992.3076923076924
54,2016-07-24,31,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,715.3846153846154
55,2016-07-31,44,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1015.3846153846154
56,2016-08-07,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
57,2016-08-14,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
58,2016-08-21,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
59,2016-08-28,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
60,2016-09-04,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
61,2016-09-11,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
62,2016-09-18,39,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,900.0
63,2016-09-25,60,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1384.6153846153848
64,2016-10-02,71,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1638.4615384615383
65,2016-10-09,76,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1753.8461538461538
66,2016-10-16,100,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2307.6923076923076
67,2016-10-23,78,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1800.0
68,2016-10-30,82,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1892.3076923076922
69,2016-11-06,65,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1500.0
70,2016-11-13,74,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1707.6923076923076
71,2016-11-20,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
72,2016-11-27,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
73,2016-12-04,31,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,715.3846153846154
74,2016-12-11,43,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,992.3076923076924
75,2016-12-18,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
76,2016-12-25,23,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,530.7692307692308
77,2017-01-01,33,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,761.5384615384615
78,2017-01-08,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
79,2017-01-15,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
80,2017-01-22,79,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1823.076923076923
81,2017-01-29,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
82,2017-02-05,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
83,2017-02-12,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
84,2017-02-19,61,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1407.6923076923076
85,2017-02-26,87,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2007.6923076923076
86,2017-03-05,79,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1823.076923076923
87,2017-03-12,56,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1292.3076923076922
88,2017-03-19,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
89,2017-03-26,24,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,553.8461538461538
90,2017-04-02,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
91,2017-04-09,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
92,2017-04-16,37,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,853.8461538461538
93,2017-04-23,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
94,2017-04-30,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
95,2017-05-07,27,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,623.0769230769231
96,2017-05-14,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
97,2017-05-21,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
98,2017-05-28,33,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,761.5384615384615
99,2017-06-04,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
100,2017-06-11,40,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,923.0769230769231
101,2017-06-18,25,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,576.9230769230769
102,2017-06-25,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
103,2017-07-02,22,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,507.6923076923077
104,2017-07-09,33,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,761.5384615384615
105,2017-07-16,37,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,853.8461538461538
106,2017-07-23,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
107,2017-07-30,46,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1061.5384615384617
108,2017-08-06,42,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,969.2307692307692
109,2017-08-13,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
110,2017-08-20,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
111,2017-08-27,25,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,576.9230769230769
112,2017-09-03,63,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1453.8461538461538
113,2017-09-10,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
114,2017-09-17,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
115,2017-09-24,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
116,2017-10-01,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
117,2017-10-08,92,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2123.0769230769233
118,2017-10-15,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
119,2017-10-22,61,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1407.6923076923076
120,2017-10-29,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
121,2017-11-05,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
122,2017-11-12,43,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,992.3076923076924
123,2017-11-19,17,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,392.30769230769226
124,2017-11-26,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
125,2017-12-03,40,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,923.0769230769231
126,2017-12-10,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
127,2017-12-17,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
128,2017-12-24,44,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1015.3846153846154
129,2017-12-31,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
130,2018-01-07,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
131,2018-01-14,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
132,2018-01-21,61,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1407.6923076923076
133,2018-01-28,58,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1338.4615384615383
134,2018-02-04,77,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1776.923076923077
135,2018-02-11,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
136,2018-02-18,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
137,2018-02-25,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
138,2018-03-04,66,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1523.076923076923
139,2018-03-11,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
140,2018-03-18,68,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1569.230769230769
141,2018-03-25,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
142,2018-04-01,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
143,2018-04-08,77,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1776.923076923077
144,2018-04-15,29,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,669.2307692307692
145,2018-04-22,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
146,2018-04-29,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
147,2018-05-06,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
148,2018-05-13,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
149,2018-05-20,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
150,2018-05-27,66,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1523.076923076923
151,2018-06-03,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
152,2018-06-10,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
153,2018-06-17,19,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,438.46153846153845
154,2018-06-24,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
155,2018-07-01,52,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1200.0
156,2018-07-08,26,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,600.0
157,2018-07-15,30,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,692.3076923076924
