,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,425.58
1,2015-07-19,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,290.64
2,2015-07-26,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,487.86
3,2015-08-02,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,415.2
4,2015-08-09,69,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,716.22
5,2015-08-16,77,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,799.26
6,2015-08-23,94,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,975.72
7,2015-08-30,79,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,820.02
8,2015-09-06,65,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,674.7
9,2015-09-13,70,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,726.6
10,2015-09-20,59,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,612.42
11,2015-09-27,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,487.86
12,2015-10-04,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,332.16
13,2015-10-11,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,384.06
14,2015-10-18,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,384.06
15,2015-10-25,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,394.44
16,2015-11-01,27,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,280.26
17,2015-11-08,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,352.92
18,2015-11-15,30,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,311.4
19,2015-11-22,17,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,176.46
20,2015-11-29,23,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,238.74
21,2015-12-06,27,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,280.26
22,2015-12-13,17,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,176.46
23,2015-12-20,17,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,176.46
24,2015-12-27,13,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,134.94
25,2016-01-03,43,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,446.34
26,2016-01-10,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,290.64
27,2016-01-17,30,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,311.4
28,2016-01-24,30,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,311.4
29,2016-01-31,30,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,311.4
30,2016-02-07,19,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,197.22
31,2016-02-14,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,373.68
32,2016-02-21,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,342.54
33,2016-02-28,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,373.68
34,2016-03-06,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,394.44
35,2016-03-13,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,394.44
36,2016-03-20,39,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,404.82
37,2016-03-27,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,487.86
38,2016-04-03,44,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,456.72
39,2016-04-10,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,342.54
40,2016-04-17,31,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,321.78
41,2016-04-24,42,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,435.96
42,2016-05-01,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,384.06
43,2016-05-08,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,342.54
44,2016-05-15,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,342.54
45,2016-05-22,30,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,311.4
46,2016-05-29,25,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,259.5
47,2016-06-05,23,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,238.74
48,2016-06-12,21,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1038,217.98
