,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,46,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,583.74
1,2015-07-19,40,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,507.6
2,2015-07-26,42,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,532.98
3,2015-08-02,51,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,647.19
4,2015-08-09,53,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,672.57
5,2015-08-16,42,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,532.98
6,2015-08-23,48,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,609.12
7,2015-08-30,35,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,444.15
8,2015-09-06,53,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,672.57
9,2015-09-13,58,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,736.02
10,2015-09-20,55,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,697.95
11,2015-09-27,55,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,697.95
12,2015-10-04,40,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,507.6
13,2015-10-11,54,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,685.26
14,2015-10-18,62,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,786.78
15,2015-10-25,56,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,710.64
16,2015-11-01,70,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,888.3
17,2015-11-08,58,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,736.02
18,2015-11-15,44,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,558.36
19,2015-11-22,39,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,494.91
20,2015-11-29,46,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,583.74
21,2015-12-06,54,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,685.26
22,2015-12-13,35,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,444.15
23,2015-12-20,27,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,342.63
24,2015-12-27,37,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,469.53
25,2016-01-03,61,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,774.09
26,2016-01-10,59,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,748.71
27,2016-01-17,52,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,659.88
28,2016-01-24,36,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,456.84
29,2016-01-31,54,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,685.26
30,2016-02-07,54,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,685.26
31,2016-02-14,49,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,621.81
32,2016-02-21,67,False,Social Media,Social Media,Social Media template,230.76923076923077,2307.6923076923076,3100,1269,850.23
