,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,40,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4153.6
1,2015-07-19,41,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4257.44
2,2015-07-26,39,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4049.76
3,2015-08-02,41,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4257.44
4,2015-08-09,48,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4984.32
5,2015-08-16,41,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,4257.44
6,2015-08-23,58,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6022.72
7,2015-08-30,49,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,5088.16
8,2015-09-06,58,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6022.72
9,2015-09-13,58,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6022.72
10,2015-09-20,62,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6438.08
11,2015-09-27,65,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6749.6
12,2015-10-04,78,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,8099.52
13,2015-10-11,100,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,10384.0
14,2015-10-18,77,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,7995.68
15,2015-10-25,73,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,7580.32
16,2015-11-01,88,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,9137.92
17,2015-11-08,78,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,8099.52
18,2015-11-15,100,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,10384.0
19,2015-11-22,70,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,7268.8
20,2015-11-29,84,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,8722.56
21,2015-12-06,65,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,6749.6
22,2015-12-13,57,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,5918.88
23,2015-12-20,12,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,10384,1246.08
