,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,54,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,12461.538461538463
1,2015-07-19,57,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,13153.846153846154
2,2015-07-26,88,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,20307.69230769231
3,2015-08-02,74,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,17076.923076923078
4,2015-08-09,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15692.307692307693
5,2015-08-16,89,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,20538.46153846154
6,2015-08-23,58,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,13384.615384615385
7,2015-08-30,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
8,2015-09-06,80,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,18461.53846153846
9,2015-09-13,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15692.307692307693
10,2015-09-20,65,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15000.0
11,2015-09-27,67,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15461.538461538463
12,2015-10-04,65,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15000.0
13,2015-10-11,88,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,20307.69230769231
14,2015-10-18,76,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,17538.46153846154
15,2015-10-25,54,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,12461.538461538463
16,2015-11-01,74,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,17076.923076923078
17,2015-11-08,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
18,2015-11-15,64,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,14769.23076923077
19,2015-11-22,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
20,2015-11-29,68,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15692.307692307693
21,2015-12-06,65,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,15000.0
22,2015-12-13,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
23,2015-12-20,23,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,5307.692307692308
24,2015-12-27,51,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,11769.23076923077
25,2016-01-03,81,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,18692.30769230769
26,2016-01-10,78,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,18000.0
27,2016-01-17,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
28,2016-01-24,58,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,13384.615384615385
29,2016-01-31,60,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,13846.153846153848
30,2016-02-07,70,False,Events,Birthday Invitation,Birthday Invitation template,2307.6923076923076,23076.923076923078,957,12692,16153.846153846154
