,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
1,2015-07-19,76,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,17538.46153846154
2,2015-07-26,32,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7384.615384615385
3,2015-08-02,33,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7615.384615384616
4,2015-08-09,35,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8076.923076923077
5,2015-08-16,59,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13615.384615384615
6,2015-08-23,68,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15692.307692307693
7,2015-08-30,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15000.0
8,2015-09-06,72,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16615.384615384613
9,2015-09-13,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12923.076923076926
10,2015-09-20,68,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15692.307692307693
11,2015-09-27,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
12,2015-10-04,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15000.0
13,2015-10-11,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
14,2015-10-18,64,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14769.23076923077
15,2015-10-25,39,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9000.0
16,2015-11-01,71,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16384.615384615387
17,2015-11-08,64,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14769.23076923077
18,2015-11-15,89,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,20538.46153846154
19,2015-11-22,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
20,2015-11-29,66,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15230.769230769232
21,2015-12-06,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
22,2015-12-13,71,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16384.615384615387
23,2015-12-20,18,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,4153.846153846153
24,2015-12-27,23,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,5307.692307692308
25,2016-01-03,47,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10846.153846153848
26,2016-01-10,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
27,2016-01-17,48,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11076.923076923078
28,2016-01-24,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
29,2016-01-31,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
30,2016-02-07,78,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,18000.0
31,2016-02-14,57,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13153.846153846154
32,2016-02-21,75,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,17307.69230769231
33,2016-02-28,70,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16153.846153846154
34,2016-03-06,45,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10384.615384615385
35,2016-03-13,71,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16384.615384615387
36,2016-03-20,71,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16384.615384615387
37,2016-03-27,60,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13846.153846153848
38,2016-04-03,62,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14307.692307692307
39,2016-04-10,48,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11076.923076923078
40,2016-04-17,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
41,2016-04-24,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
42,2016-05-01,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
43,2016-05-08,48,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11076.923076923078
44,2016-05-15,43,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9923.076923076924
45,2016-05-22,78,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,18000.0
46,2016-05-29,29,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6692.307692307692
47,2016-06-05,61,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14076.923076923078
48,2016-06-12,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
49,2016-06-19,57,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13153.846153846154
50,2016-06-26,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
51,2016-07-03,76,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,17538.46153846154
52,2016-07-10,69,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15923.076923076926
53,2016-07-17,62,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14307.692307692307
54,2016-07-24,31,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7153.846153846153
55,2016-07-31,39,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9000.0
56,2016-08-07,45,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10384.615384615385
57,2016-08-14,33,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7615.384615384616
58,2016-08-21,58,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13384.615384615385
59,2016-08-28,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15000.0
60,2016-09-04,66,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15230.769230769232
61,2016-09-11,62,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14307.692307692307
62,2016-09-18,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11307.692307692307
63,2016-09-25,37,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8538.461538461539
64,2016-10-02,44,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10153.846153846154
65,2016-10-09,52,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12000.0
66,2016-10-16,68,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15692.307692307693
67,2016-10-23,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12461.538461538463
68,2016-10-30,66,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15230.769230769232
69,2016-11-06,59,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13615.384615384615
70,2016-11-13,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
71,2016-11-20,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
72,2016-11-27,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11769.23076923077
73,2016-12-04,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12461.538461538463
74,2016-12-11,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11307.692307692307
75,2016-12-18,47,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10846.153846153848
76,2016-12-25,28,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6461.538461538463
77,2017-01-01,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
78,2017-01-08,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12461.538461538463
79,2017-01-15,42,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9692.307692307693
80,2017-01-22,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11307.692307692307
81,2017-01-29,80,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,18461.53846153846
82,2017-02-05,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
83,2017-02-12,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
84,2017-02-19,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
85,2017-02-26,100,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,23076.923076923078
86,2017-03-05,69,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15923.076923076926
87,2017-03-12,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12461.538461538463
88,2017-03-19,73,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16846.153846153848
89,2017-03-26,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11307.692307692307
90,2017-04-02,64,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14769.23076923077
91,2017-04-09,50,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11538.461538461539
92,2017-04-16,34,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7846.153846153847
93,2017-04-23,40,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9230.76923076923
94,2017-04-30,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12923.076923076926
95,2017-05-07,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
96,2017-05-14,54,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12461.538461538463
97,2017-05-21,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
98,2017-05-28,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
99,2017-06-04,35,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8076.923076923077
100,2017-06-11,47,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10846.153846153848
101,2017-06-18,28,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6461.538461538463
102,2017-06-25,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
103,2017-07-02,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11769.23076923077
104,2017-07-09,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
105,2017-07-16,39,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9000.0
106,2017-07-23,43,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9923.076923076924
107,2017-07-30,30,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6923.076923076924
108,2017-08-06,30,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6923.076923076924
109,2017-08-13,40,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9230.76923076923
110,2017-08-20,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11769.23076923077
111,2017-08-27,46,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10615.384615384615
112,2017-09-03,46,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10615.384615384615
113,2017-09-10,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
114,2017-09-17,43,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9923.076923076924
115,2017-09-24,40,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9230.76923076923
116,2017-10-01,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
117,2017-10-08,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12923.076923076926
118,2017-10-15,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
119,2017-10-22,44,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10153.846153846154
120,2017-10-29,33,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7615.384615384616
121,2017-11-05,52,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12000.0
122,2017-11-12,65,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15000.0
123,2017-11-19,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
124,2017-11-26,47,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10846.153846153848
125,2017-12-03,61,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14076.923076923078
126,2017-12-10,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
127,2017-12-17,50,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11538.461538461539
128,2017-12-24,19,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,4384.615384615385
129,2017-12-31,45,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10384.615384615385
130,2018-01-07,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
131,2018-01-14,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
132,2018-01-21,59,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13615.384615384615
133,2018-01-28,67,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,15461.538461538463
134,2018-02-04,46,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,10615.384615384615
135,2018-02-11,40,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9230.76923076923
136,2018-02-18,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
137,2018-02-25,72,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,16615.384615384613
138,2018-03-04,56,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12923.076923076926
139,2018-03-11,43,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9923.076923076924
140,2018-03-18,52,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12000.0
141,2018-03-25,41,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9461.538461538463
142,2018-04-01,28,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,6461.538461538463
143,2018-04-08,48,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11076.923076923078
144,2018-04-15,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
145,2018-04-22,38,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8769.23076923077
146,2018-04-29,58,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13384.615384615385
147,2018-05-06,85,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,19615.384615384617
148,2018-05-13,53,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12230.769230769232
149,2018-05-20,55,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,12692.307692307693
150,2018-05-27,32,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7384.615384615385
151,2018-06-03,34,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7846.153846153847
152,2018-06-10,43,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9923.076923076924
153,2018-06-17,51,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11769.23076923077
154,2018-06-24,36,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8307.692307692307
155,2018-07-01,19,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,4384.615384615385
156,2018-07-08,42,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,9692.307692307693
157,2018-07-15,32,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7384.615384615385
158,2018-07-22,32,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,7384.615384615385
159,2018-07-29,38,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,8769.23076923077
160,2018-08-05,50,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11538.461538461539
161,2018-08-12,63,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14538.461538461539
162,2018-08-19,64,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,14769.23076923077
163,2018-08-26,60,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,13846.153846153848
164,2018-09-02,49,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,11307.692307692307
165,2018-09-09,74,False,Education,Bookmark,Bookmark template,2307.6923076923076,23076.923076923078,223,12692,17076.923076923078
