,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,64,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14769.23076923077
1,2015-07-19,54,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12461.538461538463
2,2015-07-26,65,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15000.0
3,2015-08-02,52,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12000.0
4,2015-08-09,62,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14307.692307692307
5,2015-08-16,56,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12923.076923076926
6,2015-08-23,76,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17538.46153846154
7,2015-08-30,72,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16615.384615384613
8,2015-09-06,71,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16384.615384615387
9,2015-09-13,74,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17076.923076923078
10,2015-09-20,79,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18230.769230769234
11,2015-09-27,88,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,20307.69230769231
12,2015-10-04,85,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19615.384615384617
13,2015-10-11,78,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18000.0
14,2015-10-18,79,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18230.769230769234
15,2015-10-25,76,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17538.46153846154
16,2015-11-01,100,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,23076.923076923078
17,2015-11-08,71,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16384.615384615387
18,2015-11-15,80,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18461.53846153846
19,2015-11-22,68,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15692.307692307693
20,2015-11-29,87,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,20076.923076923078
21,2015-12-06,84,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19384.615384615387
22,2015-12-13,70,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16153.846153846154
23,2015-12-20,35,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,8076.923076923077
24,2015-12-27,33,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,7615.384615384616
25,2016-01-03,77,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17769.23076923077
26,2016-01-10,68,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15692.307692307693
27,2016-01-17,69,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15923.076923076926
28,2016-01-24,67,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15461.538461538463
29,2016-01-31,84,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19384.615384615387
30,2016-02-07,75,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17307.69230769231
31,2016-02-14,78,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18000.0
32,2016-02-21,63,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14538.461538461539
33,2016-02-28,84,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19384.615384615387
34,2016-03-06,77,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17769.23076923077
35,2016-03-13,70,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16153.846153846154
36,2016-03-20,74,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17076.923076923078
37,2016-03-27,75,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17307.69230769231
38,2016-04-03,79,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18230.769230769234
39,2016-04-10,87,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,20076.923076923078
40,2016-04-17,80,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18461.53846153846
41,2016-04-24,87,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,20076.923076923078
42,2016-05-01,77,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17769.23076923077
43,2016-05-08,77,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17769.23076923077
44,2016-05-15,70,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16153.846153846154
45,2016-05-22,68,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15692.307692307693
46,2016-05-29,47,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,10846.153846153848
47,2016-06-05,59,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,13615.384615384615
48,2016-06-12,48,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11076.923076923078
49,2016-06-19,44,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,10153.846153846154
50,2016-06-26,41,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,9461.538461538463
51,2016-07-03,48,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11076.923076923078
52,2016-07-10,50,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11538.461538461539
53,2016-07-17,51,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11769.23076923077
54,2016-07-24,54,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12461.538461538463
55,2016-07-31,49,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11307.692307692307
56,2016-08-07,52,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12000.0
57,2016-08-14,48,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11076.923076923078
58,2016-08-21,47,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,10846.153846153848
59,2016-08-28,52,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,12000.0
60,2016-09-04,61,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14076.923076923078
61,2016-09-11,71,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16384.615384615387
62,2016-09-18,73,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16846.153846153848
63,2016-09-25,62,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14307.692307692307
64,2016-10-02,72,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16615.384615384613
65,2016-10-09,77,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17769.23076923077
66,2016-10-16,78,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18000.0
67,2016-10-23,79,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18230.769230769234
68,2016-10-30,84,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19384.615384615387
69,2016-11-06,79,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18230.769230769234
70,2016-11-13,86,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,19846.153846153848
71,2016-11-20,64,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,14769.23076923077
72,2016-11-27,75,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,17307.69230769231
73,2016-12-04,70,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16153.846153846154
74,2016-12-11,81,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18692.30769230769
75,2016-12-18,48,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,11076.923076923078
76,2016-12-25,38,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,8769.23076923077
77,2017-01-01,60,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,13846.153846153848
78,2017-01-08,65,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,15000.0
79,2017-01-15,72,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,16615.384615384613
80,2017-01-22,80,False,Marketing,Brochure,Brochure template,2307.6923076923076,23076.923076923078,891,12692,18461.53846153846
