,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,80,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
1,2015-07-19,83,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
2,2015-07-26,82,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
3,2015-08-02,75,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17307.69230769231
4,2015-08-09,86,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19846.153846153848
5,2015-08-16,92,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,21230.76923076923
6,2015-08-23,82,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
7,2015-08-30,90,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20769.23076923077
8,2015-09-06,100,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
9,2015-09-13,80,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
10,2015-09-20,87,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20076.923076923078
11,2015-09-27,75,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17307.69230769231
12,2015-10-04,83,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
13,2015-10-11,97,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,22384.615384615387
14,2015-10-18,84,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
15,2015-10-25,88,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
16,2015-11-01,82,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
17,2015-11-08,84,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
18,2015-11-15,81,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
19,2015-11-22,60,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,13846.153846153848
20,2015-11-29,77,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
21,2015-12-06,83,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
22,2015-12-13,68,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
23,2015-12-20,52,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,12000.0
24,2015-12-27,49,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,11307.692307692307
25,2016-01-03,70,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
26,2016-01-10,70,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
27,2016-01-17,69,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,15923.076923076926
28,2016-01-24,71,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
29,2016-01-31,76,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17538.46153846154
30,2016-02-07,70,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
31,2016-02-14,76,False,Marketing,Business Card,Business Card template,2307.6923076923076,23076.923076923078,3100,12692,17538.46153846154
