,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,60,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,13846.153846153848
1,2015-07-19,57,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,13153.846153846154
2,2015-07-26,61,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,14076.923076923078
3,2015-08-02,66,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15230.769230769232
4,2015-08-09,68,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15692.307692307693
5,2015-08-16,71,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,16384.615384615387
6,2015-08-23,75,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,17307.69230769231
7,2015-08-30,75,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,17307.69230769231
8,2015-09-06,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15000.0
9,2015-09-13,67,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15461.538461538463
10,2015-09-20,66,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15230.769230769232
11,2015-09-27,76,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,17538.46153846154
12,2015-10-04,64,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,14769.23076923077
13,2015-10-11,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15000.0
14,2015-10-18,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15000.0
15,2015-10-25,67,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15461.538461538463
16,2015-11-01,72,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,16615.384615384613
17,2015-11-08,69,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15923.076923076926
18,2015-11-15,70,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,16153.846153846154
19,2015-11-22,55,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12692.307692307693
20,2015-11-29,89,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,20538.46153846154
21,2015-12-06,75,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,17307.69230769231
22,2015-12-13,77,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,17769.23076923077
23,2015-12-20,54,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12461.538461538463
24,2015-12-27,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15000.0
25,2016-01-03,94,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,21692.307692307695
26,2016-01-10,68,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15692.307692307693
27,2016-01-17,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
28,2016-01-24,56,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12923.076923076926
29,2016-01-31,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
30,2016-02-07,41,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9461.538461538463
31,2016-02-14,41,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9461.538461538463
32,2016-02-21,45,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10384.615384615385
33,2016-02-28,50,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11538.461538461539
34,2016-03-06,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
35,2016-03-13,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
36,2016-03-20,35,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8076.923076923077
37,2016-03-27,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
38,2016-04-03,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
39,2016-04-10,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
40,2016-04-17,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
41,2016-04-24,45,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10384.615384615385
42,2016-05-01,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
43,2016-05-08,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
44,2016-05-15,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
45,2016-05-22,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
46,2016-05-29,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
47,2016-06-05,41,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9461.538461538463
48,2016-06-12,41,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9461.538461538463
49,2016-06-19,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
50,2016-06-26,45,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10384.615384615385
51,2016-07-03,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
52,2016-07-10,41,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9461.538461538463
53,2016-07-17,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
54,2016-07-24,42,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9692.307692307693
55,2016-07-31,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
56,2016-08-07,48,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11076.923076923078
57,2016-08-14,53,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12230.769230769232
58,2016-08-21,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
59,2016-08-28,54,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12461.538461538463
60,2016-09-04,49,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11307.692307692307
61,2016-09-11,55,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12692.307692307693
62,2016-09-18,51,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11769.23076923077
63,2016-09-25,49,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11307.692307692307
64,2016-10-02,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
65,2016-10-09,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
66,2016-10-16,44,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10153.846153846154
67,2016-10-23,44,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10153.846153846154
68,2016-10-30,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
69,2016-11-06,47,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10846.153846153848
70,2016-11-13,50,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11538.461538461539
71,2016-11-20,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
72,2016-11-27,61,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,14076.923076923078
73,2016-12-04,57,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,13153.846153846154
74,2016-12-11,57,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,13153.846153846154
75,2016-12-18,53,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12230.769230769232
76,2016-12-25,54,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12461.538461538463
77,2017-01-01,100,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,23076.923076923078
78,2017-01-08,65,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,15000.0
79,2017-01-15,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
80,2017-01-22,52,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12000.0
81,2017-01-29,50,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11538.461538461539
82,2017-02-05,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
83,2017-02-12,35,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8076.923076923077
84,2017-02-19,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
85,2017-02-26,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
86,2017-03-05,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
87,2017-03-12,34,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7846.153846153847
88,2017-03-19,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
89,2017-03-26,44,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10153.846153846154
90,2017-04-02,43,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9923.076923076924
91,2017-04-09,34,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,7846.153846153847
92,2017-04-16,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
93,2017-04-23,42,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9692.307692307693
94,2017-04-30,46,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10615.384615384615
95,2017-05-07,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
96,2017-05-14,39,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9000.0
97,2017-05-21,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
98,2017-05-28,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
99,2017-06-04,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
100,2017-06-11,36,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8307.692307692307
101,2017-06-18,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
102,2017-06-25,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
103,2017-07-02,35,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8076.923076923077
104,2017-07-09,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
105,2017-07-16,38,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,8769.23076923077
106,2017-07-23,40,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9230.76923076923
107,2017-07-30,42,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,9692.307692307693
108,2017-08-06,44,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,10153.846153846154
109,2017-08-13,50,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11538.461538461539
110,2017-08-20,51,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,11769.23076923077
111,2017-08-27,56,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,12923.076923076926
112,2017-09-03,57,False,Personal,Calendar,Calendar template,2307.6923076923076,23076.923076923078,184,12692,13153.846153846154
