,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,61,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
1,2015-07-19,67,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15461.538461538463
2,2015-07-26,64,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
3,2015-08-02,63,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
4,2015-08-09,64,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
5,2015-08-16,63,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
6,2015-08-23,66,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
7,2015-08-30,71,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
8,2015-09-06,73,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
9,2015-09-13,62,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14307.692307692307
10,2015-09-20,66,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
11,2015-09-27,63,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
12,2015-10-04,71,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
13,2015-10-11,65,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
14,2015-10-18,68,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
15,2015-10-25,70,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
16,2015-11-01,68,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
17,2015-11-08,71,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
18,2015-11-15,71,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
19,2015-11-22,65,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
20,2015-11-29,74,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,17076.923076923078
21,2015-12-06,84,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
22,2015-12-13,96,False,Personal,Card,Card template,2307.6923076923076,23076.923076923078,3100,12692,22153.846153846156
