,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,40,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,923.0769230769231
1,2015-07-19,40,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,923.0769230769231
2,2015-07-26,39,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,900.0
3,2015-08-02,39,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,900.0
4,2015-08-09,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
5,2015-08-16,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
6,2015-08-23,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
7,2015-08-30,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
8,2015-09-06,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
9,2015-09-13,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
10,2015-09-20,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
11,2015-09-27,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
12,2015-10-04,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
13,2015-10-11,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
14,2015-10-18,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
15,2015-10-25,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
16,2015-11-01,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
17,2015-11-08,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
18,2015-11-15,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
19,2015-11-22,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
20,2015-11-29,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
21,2015-12-06,36,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,830.7692307692308
22,2015-12-13,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
23,2015-12-20,41,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,946.1538461538461
24,2015-12-27,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
25,2016-01-03,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
26,2016-01-10,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
27,2016-01-17,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
28,2016-01-24,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
29,2016-01-31,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
30,2016-02-07,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
31,2016-02-14,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
32,2016-02-21,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
33,2016-02-28,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
34,2016-03-06,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
35,2016-03-13,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
36,2016-03-20,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
37,2016-03-27,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
38,2016-04-03,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
39,2016-04-10,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
40,2016-04-17,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
41,2016-04-24,74,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,1707.6923076923076
42,2016-05-01,38,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,876.9230769230769
43,2016-05-08,0,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,0.0
44,2016-05-15,37,False,Events,Event Programme,Event Programme template,230.76923076923077,2307.6923076923076,240,1269,853.8461538461538
