,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
1,2015-07-19,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
2,2015-07-26,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
3,2015-08-02,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
4,2015-08-09,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
5,2015-08-16,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
6,2015-08-23,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
7,2015-08-30,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
8,2015-09-06,34,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,784.6153846153845
9,2015-09-13,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
10,2015-09-20,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
11,2015-09-27,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
12,2015-10-04,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
13,2015-10-11,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
14,2015-10-18,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
15,2015-10-25,33,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,761.5384615384615
16,2015-11-01,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
17,2015-11-08,16,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,369.2307692307692
18,2015-11-15,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
19,2015-11-22,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
20,2015-11-29,16,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,369.2307692307692
21,2015-12-06,28,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,646.1538461538461
22,2015-12-13,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
23,2015-12-20,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
24,2015-12-27,19,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,438.46153846153845
25,2016-01-03,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
26,2016-01-10,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
27,2016-01-17,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
28,2016-01-24,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
29,2016-01-31,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
30,2016-02-07,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
31,2016-02-14,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
32,2016-02-21,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
33,2016-02-28,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
34,2016-03-06,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
35,2016-03-13,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
36,2016-03-20,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
37,2016-03-27,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
38,2016-04-03,40,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,923.0769230769231
39,2016-04-10,34,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,784.6153846153845
40,2016-04-17,34,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,784.6153846153845
41,2016-04-24,40,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,923.0769230769231
42,2016-05-01,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
43,2016-05-08,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
44,2016-05-15,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
45,2016-05-22,41,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,946.1538461538461
46,2016-05-29,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
47,2016-06-05,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
48,2016-06-12,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
49,2016-06-19,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
50,2016-06-26,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
51,2016-07-03,13,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,300.0
52,2016-07-10,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
53,2016-07-17,37,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,853.8461538461538
54,2016-07-24,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
55,2016-07-31,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
56,2016-08-07,13,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,300.0
57,2016-08-14,13,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,300.0
58,2016-08-21,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
59,2016-08-28,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
60,2016-09-04,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
61,2016-09-11,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
62,2016-09-18,18,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,415.3846153846154
63,2016-09-25,47,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1084.6153846153845
64,2016-10-02,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
65,2016-10-09,53,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1223.0769230769229
66,2016-10-16,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
67,2016-10-23,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
68,2016-10-30,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
69,2016-11-06,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
70,2016-11-13,34,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,784.6153846153845
71,2016-11-20,45,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1038.4615384615383
72,2016-11-27,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
73,2016-12-04,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
74,2016-12-11,55,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1269.2307692307693
75,2016-12-18,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
76,2016-12-25,49,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1130.7692307692307
77,2017-01-01,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
78,2017-01-08,38,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,876.9230769230769
79,2017-01-15,16,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,369.2307692307692
80,2017-01-22,42,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,969.2307692307692
81,2017-01-29,16,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,369.2307692307692
82,2017-02-05,64,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1476.923076923077
83,2017-02-12,37,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,853.8461538461538
84,2017-02-19,26,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,600.0
85,2017-02-26,31,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,715.3846153846154
86,2017-03-05,36,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,830.7692307692308
87,2017-03-12,46,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1061.5384615384617
88,2017-03-19,21,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,484.6153846153846
89,2017-03-26,21,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,484.6153846153846
90,2017-04-02,26,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,600.0
91,2017-04-09,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
92,2017-04-16,27,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,623.0769230769231
93,2017-04-23,47,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1084.6153846153845
94,2017-04-30,32,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,738.4615384615385
95,2017-05-07,27,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,623.0769230769231
96,2017-05-14,45,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1038.4615384615383
97,2017-05-21,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
98,2017-05-28,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
99,2017-06-04,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
100,2017-06-11,28,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,646.1538461538461
101,2017-06-18,17,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,392.30769230769226
102,2017-06-25,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
103,2017-07-02,52,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1200.0
104,2017-07-09,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
105,2017-07-16,23,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,530.7692307692308
106,2017-07-23,28,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,646.1538461538461
107,2017-07-30,39,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,900.0
108,2017-08-06,33,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,761.5384615384615
109,2017-08-13,28,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,646.1538461538461
110,2017-08-20,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
111,2017-08-27,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
112,2017-09-03,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
113,2017-09-10,22,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,507.6923076923077
114,2017-09-17,27,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,623.0769230769231
115,2017-09-24,48,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1107.6923076923076
116,2017-10-01,32,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,738.4615384615385
117,2017-10-08,48,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1107.6923076923076
118,2017-10-15,32,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,738.4615384615385
119,2017-10-22,42,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,969.2307692307692
120,2017-10-29,11,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,253.84615384615384
121,2017-11-05,31,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,715.3846153846154
122,2017-11-12,52,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1200.0
123,2017-11-19,21,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,484.6153846153846
124,2017-11-26,46,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1061.5384615384617
125,2017-12-03,26,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,600.0
126,2017-12-10,36,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,830.7692307692308
127,2017-12-17,33,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,761.5384615384615
128,2017-12-24,12,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,276.9230769230769
129,2017-12-31,33,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,761.5384615384615
130,2018-01-07,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
131,2018-01-14,50,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1153.8461538461538
132,2018-01-21,40,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,923.0769230769231
133,2018-01-28,15,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,346.1538461538462
134,2018-02-04,45,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1038.4615384615383
135,2018-02-11,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
136,2018-02-18,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
137,2018-02-25,15,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,346.1538461538462
138,2018-03-04,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
139,2018-03-11,10,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,230.76923076923077
140,2018-03-18,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
141,2018-03-25,16,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,369.2307692307692
142,2018-04-01,21,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,484.6153846153846
143,2018-04-08,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
144,2018-04-15,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
145,2018-04-22,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
146,2018-04-29,21,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,484.6153846153846
147,2018-05-06,15,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,346.1538461538462
148,2018-05-13,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
149,2018-05-20,36,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,830.7692307692308
150,2018-05-27,31,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,715.3846153846154
151,2018-06-03,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
152,2018-06-10,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
153,2018-06-17,10,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,230.76923076923077
154,2018-06-24,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
155,2018-07-01,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
156,2018-07-08,15,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,346.1538461538462
157,2018-07-15,36,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,830.7692307692308
158,2018-07-22,26,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,600.0
159,2018-07-29,51,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1176.923076923077
160,2018-08-05,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
161,2018-08-12,25,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,576.9230769230769
162,2018-08-19,41,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,946.1538461538461
163,2018-08-26,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
164,2018-09-02,15,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,346.1538461538462
165,2018-09-09,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
166,2018-09-16,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
167,2018-09-23,10,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,230.76923076923077
168,2018-09-30,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
169,2018-10-07,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
170,2018-10-14,10,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,230.76923076923077
171,2018-10-21,30,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,692.3076923076924
172,2018-10-28,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
173,2018-11-04,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
174,2018-11-11,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
175,2018-11-18,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
176,2018-11-25,14,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,323.07692307692304
177,2018-12-02,35,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,807.6923076923076
178,2018-12-09,20,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,461.53846153846155
179,2018-12-16,10,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,230.76923076923077
180,2018-12-23,44,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1015.3846153846154
181,2018-12-30,27,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,623.0769230769231
182,2019-01-06,50,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,1153.8461538461538
183,2019-01-13,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
184,2019-01-20,0,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,0.0
185,2019-01-27,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
186,2019-02-03,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
187,2019-02-10,43,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,992.3076923076924
188,2019-02-17,43,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,992.3076923076924
189,2019-02-24,38,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,876.9230769230769
190,2019-03-03,39,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,900.0
191,2019-03-10,29,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,669.2307692307692
192,2019-03-17,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
193,2019-03-24,24,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,553.8461538461538
194,2019-03-31,39,False,Ads,Facebook Ad,Facebook Ad template,230.76923076923077,2307.6923076923076,317,1269,900.0
