,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
1,2015-07-19,8,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1846.1538461538462
2,2015-07-26,7,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1615.3846153846157
3,2015-08-02,10,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2307.6923076923076
4,2015-08-09,7,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1615.3846153846157
5,2015-08-16,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
6,2015-08-23,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
7,2015-08-30,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
8,2015-09-06,9,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2076.9230769230767
9,2015-09-13,15,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3461.538461538462
10,2015-09-20,15,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3461.538461538462
11,2015-09-27,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
12,2015-10-04,13,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3000.0
13,2015-10-11,15,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3461.538461538462
14,2015-10-18,11,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2538.4615384615386
15,2015-10-25,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
16,2015-11-01,14,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3230.7692307692314
17,2015-11-08,14,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3230.7692307692314
18,2015-11-15,19,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,4384.615384615385
19,2015-11-22,14,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,3230.7692307692314
20,2015-11-29,25,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,5769.2307692307695
21,2015-12-06,43,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,9923.076923076924
22,2015-12-13,57,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,13153.846153846154
23,2015-12-20,100,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,23076.923076923078
24,2015-12-27,8,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1846.1538461538462
25,2016-01-03,7,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1615.3846153846157
26,2016-01-10,5,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1153.8461538461538
27,2016-01-17,5,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1153.8461538461538
28,2016-01-24,8,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1846.1538461538462
29,2016-01-31,6,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1384.6153846153848
30,2016-02-07,12,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,2769.2307692307695
31,2016-02-14,7,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1615.3846153846157
32,2016-02-21,5,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1153.8461538461538
33,2016-02-28,5,False,Marketing,Gift Certificate,Gift Certificate template,2307.6923076923076,23076.923076923078,833,12692,1153.8461538461538
