,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
1,2015-07-19,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
2,2015-07-26,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
3,2015-08-02,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
4,2015-08-09,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
5,2015-08-16,14,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3230.7692307692314
6,2015-08-23,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
7,2015-08-30,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
8,2015-09-06,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
9,2015-09-13,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
10,2015-09-20,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
11,2015-09-27,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
12,2015-10-04,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
13,2015-10-11,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
14,2015-10-18,16,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3692.3076923076924
15,2015-10-25,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
16,2015-11-01,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
17,2015-11-08,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
18,2015-11-15,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
19,2015-11-22,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
20,2015-11-29,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
21,2015-12-06,6,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1384.6153846153848
22,2015-12-13,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
23,2015-12-20,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
24,2015-12-27,21,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,4846.153846153847
25,2016-01-03,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
26,2016-01-10,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
27,2016-01-17,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
28,2016-01-24,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
29,2016-01-31,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
30,2016-02-07,0,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,0.0
31,2016-02-14,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
32,2016-02-21,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
33,2016-02-28,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
34,2016-03-06,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
35,2016-03-13,20,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,4615.384615384615
36,2016-03-20,7,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,1615.3846153846157
37,2016-03-27,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
38,2016-04-03,13,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,3000.0
39,2016-04-10,10,False,Social Media,Instagram Post,Instagram Post template,2307.6923076923076,23076.923076923078,3100,12692,2307.6923076923076
