,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,69,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,15923.076923076926
1,2015-07-19,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
2,2015-07-26,81,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
3,2015-08-02,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
4,2015-08-09,73,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
5,2015-08-16,65,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
6,2015-08-23,68,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
7,2015-08-30,77,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
8,2015-09-06,85,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,19615.384615384617
9,2015-09-13,81,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
10,2015-09-20,83,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
11,2015-09-27,74,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,17076.923076923078
12,2015-10-04,79,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18230.769230769234
13,2015-10-11,83,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
14,2015-10-18,84,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,19384.615384615387
15,2015-10-25,81,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
16,2015-11-01,91,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,21000.0
17,2015-11-08,97,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,22384.615384615387
18,2015-11-15,98,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,22615.384615384613
19,2015-11-22,80,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
20,2015-11-29,93,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,21461.538461538465
21,2015-12-06,82,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
22,2015-12-13,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
23,2015-12-20,51,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,11769.23076923077
24,2015-12-27,48,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,11076.923076923078
25,2016-01-03,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
26,2016-01-10,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
27,2016-01-17,64,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
28,2016-01-24,77,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
29,2016-01-31,73,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
30,2016-02-07,79,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18230.769230769234
31,2016-02-14,78,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
32,2016-02-21,74,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,17076.923076923078
33,2016-02-28,77,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
34,2016-03-06,73,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
35,2016-03-13,72,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,16615.384615384613
36,2016-03-20,68,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
37,2016-03-27,71,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
38,2016-04-03,81,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
39,2016-04-10,93,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,21461.538461538465
40,2016-04-17,83,False,Events,Invitation,Invitation template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
