,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,85,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,19615.384615384617
1,2015-07-19,92,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21230.76923076923
2,2015-07-26,95,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21923.076923076926
3,2015-08-02,95,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21923.076923076926
4,2015-08-09,97,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,22384.615384615387
5,2015-08-16,85,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,19615.384615384617
6,2015-08-23,100,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,23076.923076923078
7,2015-08-30,89,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,20538.46153846154
8,2015-09-06,94,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21692.307692307695
9,2015-09-13,96,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,22153.846153846156
10,2015-09-20,92,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21230.76923076923
11,2015-09-27,98,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,22615.384615384613
12,2015-10-04,95,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21923.076923076926
13,2015-10-11,93,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21461.538461538465
14,2015-10-18,89,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,20538.46153846154
15,2015-10-25,92,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21230.76923076923
16,2015-11-01,92,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21230.76923076923
17,2015-11-08,85,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,19615.384615384617
18,2015-11-15,83,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,19153.846153846156
19,2015-11-22,75,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,17307.69230769231
20,2015-11-29,95,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21923.076923076926
21,2015-12-06,88,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,20307.69230769231
22,2015-12-13,92,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,21230.76923076923
23,2015-12-20,63,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14538.461538461539
24,2015-12-27,52,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,12000.0
25,2016-01-03,64,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14769.23076923077
26,2016-01-10,63,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14538.461538461539
27,2016-01-17,65,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15000.0
28,2016-01-24,69,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15923.076923076926
29,2016-01-31,70,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16153.846153846154
30,2016-02-07,67,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15461.538461538463
31,2016-02-14,68,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15692.307692307693
32,2016-02-21,72,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16615.384615384613
33,2016-02-28,74,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,17076.923076923078
34,2016-03-06,73,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16846.153846153848
35,2016-03-13,69,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15923.076923076926
36,2016-03-20,66,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15230.769230769232
37,2016-03-27,73,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16846.153846153848
38,2016-04-03,72,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16615.384615384613
39,2016-04-10,70,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16153.846153846154
40,2016-04-17,65,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15000.0
41,2016-04-24,68,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15692.307692307693
42,2016-05-01,65,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15000.0
43,2016-05-08,73,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16846.153846153848
44,2016-05-15,68,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,15692.307692307693
45,2016-05-22,64,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14769.23076923077
46,2016-05-29,72,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,16615.384615384613
47,2016-06-05,62,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14307.692307692307
48,2016-06-12,62,False,Documents,Invoice,Invoice template,2307.6923076923076,23076.923076923078,167,12692,14307.692307692307
