,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,79,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18230.769230769234
1,2015-07-19,81,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18692.30769230769
2,2015-07-26,82,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18923.076923076926
3,2015-08-02,78,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18000.0
4,2015-08-09,81,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18692.30769230769
5,2015-08-16,83,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,19153.846153846156
6,2015-08-23,86,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,19846.153846153848
7,2015-08-30,78,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18000.0
8,2015-09-06,83,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,19153.846153846156
9,2015-09-13,81,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18692.30769230769
10,2015-09-20,77,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
11,2015-09-27,77,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
12,2015-10-04,75,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
13,2015-10-11,73,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
14,2015-10-18,75,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
15,2015-10-25,79,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18230.769230769234
16,2015-11-01,76,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
17,2015-11-08,81,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18692.30769230769
18,2015-11-15,80,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18461.53846153846
19,2015-11-22,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
20,2015-11-29,100,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,23076.923076923078
21,2015-12-06,95,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,21923.076923076926
22,2015-12-13,89,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,20538.46153846154
23,2015-12-20,76,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
24,2015-12-27,42,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,9692.307692307693
25,2016-01-03,63,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
26,2016-01-10,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
27,2016-01-17,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
28,2016-01-24,75,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
29,2016-01-31,72,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16615.384615384613
30,2016-02-07,74,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17076.923076923078
31,2016-02-14,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
32,2016-02-21,73,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
33,2016-02-28,72,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16615.384615384613
34,2016-03-06,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
35,2016-03-13,69,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
36,2016-03-20,65,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15000.0
37,2016-03-27,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
38,2016-04-03,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
39,2016-04-10,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
40,2016-04-17,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
41,2016-04-24,76,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
42,2016-05-01,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
43,2016-05-08,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
44,2016-05-15,73,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
45,2016-05-22,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
46,2016-05-29,65,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15000.0
47,2016-06-05,64,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
48,2016-06-12,64,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
49,2016-06-19,64,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
50,2016-06-26,60,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13846.153846153848
51,2016-07-03,56,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,12923.076923076926
52,2016-07-10,58,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13384.615384615385
53,2016-07-17,56,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,12923.076923076926
54,2016-07-24,61,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
55,2016-07-31,62,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14307.692307692307
56,2016-08-07,57,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13153.846153846154
57,2016-08-14,59,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
58,2016-08-21,64,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
59,2016-08-28,67,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15461.538461538463
60,2016-09-04,65,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15000.0
61,2016-09-11,66,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15230.769230769232
62,2016-09-18,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
63,2016-09-25,69,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
64,2016-10-02,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
65,2016-10-09,69,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
66,2016-10-16,66,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15230.769230769232
67,2016-10-23,67,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15461.538461538463
68,2016-10-30,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
69,2016-11-06,63,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
70,2016-11-13,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
71,2016-11-20,60,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13846.153846153848
72,2016-11-27,83,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,19153.846153846156
73,2016-12-04,77,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
74,2016-12-11,74,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17076.923076923078
75,2016-12-18,68,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
76,2016-12-25,38,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,8769.23076923077
77,2017-01-01,59,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
78,2017-01-08,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
79,2017-01-15,75,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
80,2017-01-22,76,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
81,2017-01-29,81,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18692.30769230769
82,2017-02-05,78,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18000.0
83,2017-02-12,75,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
84,2017-02-19,77,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
85,2017-02-26,79,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18230.769230769234
86,2017-03-05,79,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,18230.769230769234
87,2017-03-12,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
88,2017-03-19,71,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
89,2017-03-26,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
90,2017-04-02,70,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
91,2017-04-09,59,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
92,2017-04-16,62,False,Documents,Letter,Letter template,2307.6923076923076,23076.923076923078,886,12692,14307.692307692307
