,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,75,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
1,2015-07-19,69,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
2,2015-07-26,77,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
3,2015-08-02,100,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,23076.923076923078
4,2015-08-09,87,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,20076.923076923078
5,2015-08-16,71,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
6,2015-08-23,85,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,19615.384615384617
7,2015-08-30,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
8,2015-09-06,63,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
9,2015-09-13,53,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12230.769230769232
10,2015-09-20,62,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14307.692307692307
11,2015-09-27,75,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
12,2015-10-04,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
13,2015-10-11,65,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15000.0
14,2015-10-18,73,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
15,2015-10-25,77,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
16,2015-11-01,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
17,2015-11-08,51,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11769.23076923077
18,2015-11-15,64,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
19,2015-11-22,47,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10846.153846153848
20,2015-11-29,76,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
21,2015-12-06,72,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16615.384615384613
22,2015-12-13,72,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16615.384615384613
23,2015-12-20,72,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16615.384615384613
24,2015-12-27,42,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,9692.307692307693
25,2016-01-03,59,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
26,2016-01-10,65,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15000.0
27,2016-01-17,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
28,2016-01-24,48,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11076.923076923078
29,2016-01-31,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
30,2016-02-07,67,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15461.538461538463
31,2016-02-14,35,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,8076.923076923077
32,2016-02-21,59,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
33,2016-02-28,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
34,2016-03-06,49,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11307.692307692307
35,2016-03-13,51,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11769.23076923077
36,2016-03-20,59,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
37,2016-03-27,68,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
38,2016-04-03,56,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12923.076923076926
39,2016-04-10,64,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
40,2016-04-17,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
41,2016-04-24,56,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12923.076923076926
42,2016-05-01,69,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15923.076923076926
43,2016-05-08,61,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14076.923076923078
44,2016-05-15,52,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12000.0
45,2016-05-22,46,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10615.384615384615
46,2016-05-29,46,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10615.384615384615
47,2016-06-05,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
48,2016-06-12,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
49,2016-06-19,49,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11307.692307692307
50,2016-06-26,49,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11307.692307692307
51,2016-07-03,39,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,9000.0
52,2016-07-10,47,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10846.153846153848
53,2016-07-17,47,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10846.153846153848
54,2016-07-24,63,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
55,2016-07-31,49,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11307.692307692307
56,2016-08-07,47,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10846.153846153848
57,2016-08-14,53,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12230.769230769232
58,2016-08-21,68,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15692.307692307693
59,2016-08-28,59,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13615.384615384615
60,2016-09-04,75,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17307.69230769231
61,2016-09-11,63,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
62,2016-09-18,66,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15230.769230769232
63,2016-09-25,64,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
64,2016-10-02,45,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10384.615384615385
65,2016-10-09,45,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10384.615384615385
66,2016-10-16,57,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13153.846153846154
67,2016-10-23,54,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12461.538461538463
68,2016-10-30,66,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15230.769230769232
69,2016-11-06,63,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14538.461538461539
70,2016-11-13,65,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,15000.0
71,2016-11-20,48,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,11076.923076923078
72,2016-11-27,70,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16153.846153846154
73,2016-12-04,57,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,13153.846153846154
74,2016-12-11,73,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16846.153846153848
75,2016-12-18,71,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
76,2016-12-25,45,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10384.615384615385
77,2017-01-01,46,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,10615.384615384615
78,2017-01-08,55,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,12692.307692307693
79,2017-01-15,64,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,14769.23076923077
80,2017-01-22,76,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17538.46153846154
81,2017-01-29,94,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,21692.307692307695
82,2017-02-05,77,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,17769.23076923077
83,2017-02-12,71,False,Documents,Letterhead,Letterhead template,2307.6923076923076,23076.923076923078,886,12692,16384.615384615387
