,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,70,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,16153.846153846154
1,2015-07-19,65,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,15000.0
2,2015-07-26,79,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18230.769230769234
3,2015-08-02,67,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,15461.538461538463
4,2015-08-09,79,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18230.769230769234
5,2015-08-16,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,20307.69230769231
6,2015-08-23,77,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,17769.23076923077
7,2015-08-30,72,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,16615.384615384613
8,2015-09-06,89,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,20538.46153846154
9,2015-09-13,80,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18461.53846153846
10,2015-09-20,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18923.076923076926
11,2015-09-27,78,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18000.0
12,2015-10-04,79,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18230.769230769234
13,2015-10-11,75,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,17307.69230769231
14,2015-10-18,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18923.076923076926
15,2015-10-25,100,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,23076.923076923078
16,2015-11-01,70,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,16153.846153846154
17,2015-11-08,81,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18692.30769230769
18,2015-11-15,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18923.076923076926
19,2015-11-22,67,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,15461.538461538463
20,2015-11-29,88,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,20307.69230769231
21,2015-12-06,80,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18461.53846153846
22,2015-12-13,74,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,17076.923076923078
23,2015-12-20,67,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,15461.538461538463
24,2015-12-27,58,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,13384.615384615385
25,2016-01-03,71,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,16384.615384615387
26,2016-01-10,69,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,15923.076923076926
27,2016-01-17,82,False,Marketing,Logo,Logo template,2307.6923076923076,23076.923076923078,1383,12692,18923.076923076926
