,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,69,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,15923.076923076926
1,2015-07-19,100,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,23076.923076923078
2,2015-07-26,84,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,19384.615384615387
3,2015-08-02,64,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,14769.23076923077
4,2015-08-09,68,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,15692.307692307693
5,2015-08-16,57,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,13153.846153846154
6,2015-08-23,60,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,13846.153846153848
7,2015-08-30,67,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,15461.538461538463
8,2015-09-06,81,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,18692.30769230769
9,2015-09-13,77,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,17769.23076923077
10,2015-09-20,85,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,19615.384615384617
11,2015-09-27,65,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,15000.0
12,2015-10-04,74,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,17076.923076923078
13,2015-10-11,78,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,18000.0
14,2015-10-18,87,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,20076.923076923078
15,2015-10-25,86,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,19846.153846153848
16,2015-11-01,63,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,14538.461538461539
17,2015-11-08,70,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,16153.846153846154
18,2015-11-15,92,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,21230.76923076923
19,2015-11-22,62,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,14307.692307692307
20,2015-11-29,88,False,Documents,Memo,Memo template,2307.6923076923076,23076.923076923078,426,12692,20307.69230769231
