,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,30,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6923.076923076924
1,2015-07-19,40,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9230.76923076923
2,2015-07-26,40,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9230.76923076923
3,2015-08-02,23,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5307.692307692308
4,2015-08-09,28,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6461.538461538463
5,2015-08-16,42,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9692.307692307693
6,2015-08-23,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9461.538461538463
7,2015-08-30,49,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11307.692307692307
8,2015-09-06,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9461.538461538463
9,2015-09-13,59,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13615.384615384615
10,2015-09-20,59,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13615.384615384615
11,2015-09-27,55,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,12692.307692307693
12,2015-10-04,37,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8538.461538461539
13,2015-10-11,31,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7153.846153846153
14,2015-10-18,37,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8538.461538461539
15,2015-10-25,50,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11538.461538461539
16,2015-11-01,47,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,10846.153846153848
17,2015-11-08,73,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,16846.153846153848
18,2015-11-15,49,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11307.692307692307
19,2015-11-22,42,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9692.307692307693
20,2015-11-29,44,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,10153.846153846154
21,2015-12-06,39,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9000.0
22,2015-12-13,21,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4846.153846153847
23,2015-12-20,27,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6230.769230769231
24,2015-12-27,18,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4153.846153846153
25,2016-01-03,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8307.692307692307
26,2016-01-10,30,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6923.076923076924
27,2016-01-17,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9461.538461538463
28,2016-01-24,30,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6923.076923076924
29,2016-01-31,60,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13846.153846153848
30,2016-02-07,33,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7615.384615384616
31,2016-02-14,46,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,10615.384615384615
32,2016-02-21,29,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6692.307692307692
33,2016-02-28,51,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11769.23076923077
34,2016-03-06,35,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8076.923076923077
35,2016-03-13,49,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11307.692307692307
36,2016-03-20,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8307.692307692307
37,2016-03-27,52,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,12000.0
38,2016-04-03,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9461.538461538463
39,2016-04-10,27,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6230.769230769231
40,2016-04-17,41,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9461.538461538463
41,2016-04-24,59,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13615.384615384615
42,2016-05-01,37,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8538.461538461539
43,2016-05-08,27,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6230.769230769231
44,2016-05-15,30,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6923.076923076924
45,2016-05-22,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8307.692307692307
46,2016-05-29,29,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6692.307692307692
47,2016-06-05,39,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9000.0
48,2016-06-12,33,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7615.384615384616
49,2016-06-19,48,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11076.923076923078
50,2016-06-26,34,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7846.153846153847
51,2016-07-03,18,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,4153.846153846153
52,2016-07-10,32,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7384.615384615385
53,2016-07-17,38,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8769.23076923077
54,2016-07-24,26,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6000.0
55,2016-07-31,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8307.692307692307
56,2016-08-07,30,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6923.076923076924
57,2016-08-14,28,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6461.538461538463
58,2016-08-21,58,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13384.615384615385
59,2016-08-28,17,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,3923.0769230769233
60,2016-09-04,34,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7846.153846153847
61,2016-09-11,43,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9923.076923076924
62,2016-09-18,33,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,7615.384615384616
63,2016-09-25,25,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,5769.2307692307695
64,2016-10-02,36,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,8307.692307692307
65,2016-10-09,28,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,6461.538461538463
66,2016-10-16,55,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,12692.307692307693
67,2016-10-23,58,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,13384.615384615385
68,2016-10-30,50,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11538.461538461539
69,2016-11-06,46,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,10615.384615384615
70,2016-11-13,49,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,11307.692307692307
71,2016-11-20,43,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9923.076923076924
72,2016-11-27,39,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,9000.0
73,2016-12-04,44,False,Education,Mind Map,Mind Map template,2307.6923076923076,23076.923076923078,30,12692,10153.846153846154
