,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,64,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,14769.23076923077
1,2015-07-19,63,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,14538.461538461539
2,2015-07-26,87,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,20076.923076923078
3,2015-08-02,73,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,16846.153846153848
4,2015-08-09,81,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,18692.30769230769
5,2015-08-16,93,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,21461.538461538465
6,2015-08-23,97,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,22384.615384615387
7,2015-08-30,100,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,23076.923076923078
8,2015-09-06,79,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,18230.769230769234
9,2015-09-13,96,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,22153.846153846156
10,2015-09-20,78,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,18000.0
11,2015-09-27,83,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,19153.846153846156
12,2015-10-04,87,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,20076.923076923078
13,2015-10-11,74,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,17076.923076923078
14,2015-10-18,65,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,15000.0
15,2015-10-25,58,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,13384.615384615385
16,2015-11-01,90,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,20769.23076923077
17,2015-11-08,71,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,16384.615384615387
18,2015-11-15,75,False,Marketing,Newsletter,Newsletter template,2307.6923076923076,23076.923076923078,713,12692,17307.69230769231
