,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,55,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,12692.307692307693
1,2015-07-19,69,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,15923.076923076926
2,2015-07-26,57,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,13153.846153846154
3,2015-08-02,68,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,15692.307692307693
4,2015-08-09,67,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,15461.538461538463
5,2015-08-16,74,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,17076.923076923078
6,2015-08-23,73,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,16846.153846153848
7,2015-08-30,93,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,21461.538461538465
8,2015-09-06,73,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,16846.153846153848
9,2015-09-13,69,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,15923.076923076926
10,2015-09-20,59,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,13615.384615384615
11,2015-09-27,71,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,16384.615384615387
12,2015-10-04,59,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,13615.384615384615
13,2015-10-11,70,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,16153.846153846154
14,2015-10-18,65,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,15000.0
15,2015-10-25,62,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,14307.692307692307
16,2015-11-01,62,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,14307.692307692307
17,2015-11-08,63,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,14538.461538461539
18,2015-11-15,60,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,13846.153846153848
19,2015-11-22,52,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,12000.0
20,2015-11-29,60,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,13846.153846153848
21,2015-12-06,49,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,11307.692307692307
22,2015-12-13,54,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,12461.538461538463
23,2015-12-20,48,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,11076.923076923078
24,2015-12-27,72,False,Personal,Planner,Planner template,2307.6923076923076,23076.923076923078,487,12692,16615.384615384613
