,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,68,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
1,2015-07-19,61,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
2,2015-07-26,58,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
3,2015-08-02,61,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
4,2015-08-09,68,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
5,2015-08-16,63,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
6,2015-08-23,70,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
7,2015-08-30,68,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
8,2015-09-06,79,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18230.769230769234
9,2015-09-13,88,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
10,2015-09-20,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
11,2015-09-27,89,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20538.46153846154
12,2015-10-04,95,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21923.076923076926
13,2015-10-11,81,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
14,2015-10-18,85,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19615.384615384617
15,2015-10-25,80,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
16,2015-11-01,100,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
17,2015-11-08,94,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,21692.307692307695
18,2015-11-15,88,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20307.69230769231
19,2015-11-22,81,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18692.30769230769
20,2015-11-29,100,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
21,2015-12-06,82,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
22,2015-12-13,58,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13384.615384615385
23,2015-12-20,45,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,10384.615384615385
24,2015-12-27,39,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,9000.0
25,2016-01-03,68,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
26,2016-01-10,65,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
27,2016-01-17,64,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
28,2016-01-24,60,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,13846.153846153848
29,2016-01-31,65,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15000.0
30,2016-02-07,66,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
31,2016-02-14,70,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
32,2016-02-21,73,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,16846.153846153848
33,2016-02-28,87,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,20076.923076923078
34,2016-03-06,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
35,2016-03-13,82,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
36,2016-03-20,75,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,17307.69230769231
37,2016-03-27,83,False,Marketing,Poster,Poster template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
