,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,60,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,13846.153846153848
1,2015-07-19,66,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15230.769230769232
2,2015-07-26,63,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,14538.461538461539
3,2015-08-02,66,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15230.769230769232
4,2015-08-09,61,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,14076.923076923078
5,2015-08-16,68,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15692.307692307693
6,2015-08-23,64,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,14769.23076923077
7,2015-08-30,82,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18923.076923076926
8,2015-09-06,62,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,14307.692307692307
9,2015-09-13,69,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15923.076923076926
10,2015-09-20,69,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15923.076923076926
11,2015-09-27,69,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15923.076923076926
12,2015-10-04,81,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18692.30769230769
13,2015-10-11,65,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,15000.0
14,2015-10-18,81,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18692.30769230769
15,2015-10-25,83,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,19153.846153846156
16,2015-11-01,78,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18000.0
17,2015-11-08,80,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18461.53846153846
18,2015-11-15,83,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,19153.846153846156
19,2015-11-22,78,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,18000.0
20,2015-11-29,97,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,22384.615384615387
21,2015-12-06,84,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,19384.615384615387
22,2015-12-13,63,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,14538.461538461539
23,2015-12-20,35,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,8076.923076923077
24,2015-12-27,39,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,9000.0
25,2016-01-03,51,False,Documents,Presentation,Presentation template,2307.6923076923076,23076.923076923078,1000,12692,11769.23076923077
