,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
1,2015-07-19,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
2,2015-07-26,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
3,2015-08-02,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
4,2015-08-09,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
5,2015-08-16,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
6,2015-08-23,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
7,2015-08-30,67,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1546.1538461538462
8,2015-09-06,37,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,853.8461538461538
9,2015-09-13,61,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1407.6923076923076
10,2015-09-20,73,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1684.6153846153848
11,2015-09-27,64,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1476.923076923077
12,2015-10-04,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
13,2015-10-11,67,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1546.1538461538462
14,2015-10-18,78,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1800.0
15,2015-10-25,78,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1800.0
16,2015-11-01,78,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1800.0
17,2015-11-08,85,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1961.5384615384617
18,2015-11-15,67,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1546.1538461538462
19,2015-11-22,57,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1315.3846153846152
20,2015-11-29,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
21,2015-12-06,57,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1315.3846153846152
22,2015-12-13,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
23,2015-12-20,18,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,415.3846153846154
24,2015-12-27,20,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,461.53846153846155
25,2016-01-03,72,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1661.5384615384617
26,2016-01-10,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
27,2016-01-17,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
28,2016-01-24,33,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,761.5384615384615
29,2016-01-31,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
30,2016-02-07,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
31,2016-02-14,47,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1084.6153846153845
32,2016-02-21,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
33,2016-02-28,65,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1500.0
34,2016-03-06,26,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,600.0
35,2016-03-13,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
36,2016-03-20,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
37,2016-03-27,30,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,692.3076923076924
38,2016-04-03,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
39,2016-04-10,63,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1453.8461538461538
40,2016-04-17,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
41,2016-04-24,48,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1107.6923076923076
42,2016-05-01,75,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1730.7692307692307
43,2016-05-08,37,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,853.8461538461538
44,2016-05-15,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
45,2016-05-22,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
46,2016-05-29,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
47,2016-06-05,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
48,2016-06-12,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
49,2016-06-19,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
50,2016-06-26,57,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1315.3846153846152
51,2016-07-03,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
52,2016-07-10,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
53,2016-07-17,24,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,553.8461538461538
54,2016-07-24,43,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,992.3076923076924
55,2016-07-31,32,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,738.4615384615385
56,2016-08-07,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
57,2016-08-14,25,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,576.9230769230769
58,2016-08-21,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
59,2016-08-28,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
60,2016-09-04,35,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,807.6923076923076
61,2016-09-11,31,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,715.3846153846154
62,2016-09-18,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
63,2016-09-25,23,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,530.7692307692308
64,2016-10-02,56,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1292.3076923076922
65,2016-10-09,80,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1846.1538461538462
66,2016-10-16,86,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1984.6153846153848
67,2016-10-23,83,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1915.3846153846152
68,2016-10-30,53,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1223.0769230769229
69,2016-11-06,51,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1176.923076923077
70,2016-11-13,100,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,2307.6923076923076
71,2016-11-20,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
72,2016-11-27,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
73,2016-12-04,42,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,969.2307692307692
74,2016-12-11,60,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1384.6153846153848
75,2016-12-18,15,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,346.1538461538462
76,2016-12-25,18,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,415.3846153846154
77,2017-01-01,26,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,600.0
78,2017-01-08,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
79,2017-01-15,41,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,946.1538461538461
80,2017-01-22,62,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1430.7692307692307
81,2017-01-29,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
82,2017-02-05,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
83,2017-02-12,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
84,2017-02-19,68,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1569.230769230769
85,2017-02-26,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
86,2017-03-05,77,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1776.923076923077
87,2017-03-12,60,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1384.6153846153848
88,2017-03-19,54,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1246.1538461538462
89,2017-03-26,58,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1338.4615384615383
90,2017-04-02,41,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,946.1538461538461
91,2017-04-09,49,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1130.7692307692307
92,2017-04-16,17,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,392.30769230769226
93,2017-04-23,71,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1638.4615384615383
94,2017-04-30,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
95,2017-05-07,34,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,784.6153846153845
96,2017-05-14,58,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1338.4615384615383
97,2017-05-21,26,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,600.0
98,2017-05-28,70,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1615.3846153846152
99,2017-06-04,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
100,2017-06-11,36,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,830.7692307692308
101,2017-06-18,28,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,646.1538461538461
102,2017-06-25,59,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1361.5384615384617
103,2017-07-02,15,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,346.1538461538462
104,2017-07-09,26,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,600.0
105,2017-07-16,41,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,946.1538461538461
106,2017-07-23,40,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,923.0769230769231
107,2017-07-30,50,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1153.8461538461538
108,2017-08-06,42,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,969.2307692307692
109,2017-08-13,39,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,900.0
110,2017-08-20,25,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,576.9230769230769
111,2017-08-27,28,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,646.1538461538461
112,2017-09-03,39,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,900.0
113,2017-09-10,41,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,946.1538461538461
114,2017-09-17,45,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1038.4615384615383
115,2017-09-24,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
116,2017-10-01,55,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,1269.2307692307693
117,2017-10-08,38,False,Education,Report Card,Report Card template,230.76923076923077,2307.6923076923076,1843,1269,876.9230769230769
