,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,73,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,16846.153846153848
1,2015-07-19,76,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,17538.46153846154
2,2015-07-26,83,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19153.846153846156
3,2015-08-02,85,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19615.384615384617
4,2015-08-09,79,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18230.769230769234
5,2015-08-16,84,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19384.615384615387
6,2015-08-23,83,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19153.846153846156
7,2015-08-30,93,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21461.538461538465
8,2015-09-06,92,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21230.76923076923
9,2015-09-13,90,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20769.23076923077
10,2015-09-20,89,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20538.46153846154
11,2015-09-27,100,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,23076.923076923078
12,2015-10-04,95,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21923.076923076926
13,2015-10-11,88,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20307.69230769231
14,2015-10-18,99,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,22846.153846153844
15,2015-10-25,93,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21461.538461538465
16,2015-11-01,100,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,23076.923076923078
17,2015-11-08,86,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19846.153846153848
18,2015-11-15,93,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21461.538461538465
19,2015-11-22,75,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,17307.69230769231
20,2015-11-29,90,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20769.23076923077
21,2015-12-06,93,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21461.538461538465
22,2015-12-13,83,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19153.846153846156
23,2015-12-20,48,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,11076.923076923078
24,2015-12-27,50,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,11538.461538461539
25,2016-01-03,80,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18461.53846153846
26,2016-01-10,81,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18692.30769230769
27,2016-01-17,82,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18923.076923076926
28,2016-01-24,77,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,17769.23076923077
29,2016-01-31,92,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,21230.76923076923
30,2016-02-07,81,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18692.30769230769
31,2016-02-14,79,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,18230.769230769234
32,2016-02-21,84,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19384.615384615387
33,2016-02-28,84,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,19384.615384615387
34,2016-03-06,88,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20307.69230769231
35,2016-03-13,87,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20076.923076923078
36,2016-03-20,72,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,16615.384615384613
37,2016-03-27,76,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,17538.46153846154
38,2016-04-03,87,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20076.923076923078
39,2016-04-10,77,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,17769.23076923077
40,2016-04-17,88,False,Documents,Report,Report template,2307.6923076923076,23076.923076923078,1273,12692,20307.69230769231
