,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,89,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,205384.6153846154
1,2015-07-19,84,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,193846.15384615384
2,2015-07-26,95,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,219230.76923076925
3,2015-08-02,93,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,214615.38461538462
4,2015-08-09,91,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,210000.0
5,2015-08-16,88,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,203076.9230769231
6,2015-08-23,96,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,221538.46153846156
7,2015-08-30,100,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,230769.2307692308
8,2015-09-06,94,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,216923.0769230769
9,2015-09-13,97,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,223846.15384615384
10,2015-09-20,92,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,212307.6923076923
11,2015-09-27,93,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,214615.38461538462
12,2015-10-04,92,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,212307.6923076923
13,2015-10-11,89,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,205384.6153846154
14,2015-10-18,84,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,193846.15384615384
15,2015-10-25,86,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,198461.53846153847
16,2015-11-01,88,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,203076.9230769231
17,2015-11-08,80,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,184615.38461538462
18,2015-11-15,88,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,203076.9230769231
19,2015-11-22,66,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,152307.6923076923
20,2015-11-29,83,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,191538.46153846156
21,2015-12-06,77,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,177692.30769230772
22,2015-12-13,67,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,154615.38461538462
23,2015-12-20,48,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,110769.23076923078
24,2015-12-27,64,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,147692.3076923077
25,2016-01-03,76,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,175384.6153846154
26,2016-01-10,85,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,196153.84615384616
27,2016-01-17,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
28,2016-01-24,83,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,191538.46153846156
29,2016-01-31,89,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,205384.6153846154
30,2016-02-07,76,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,175384.6153846154
31,2016-02-14,77,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,177692.30769230772
32,2016-02-21,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
33,2016-02-28,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
34,2016-03-06,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
35,2016-03-13,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
36,2016-03-20,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
37,2016-03-27,66,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,152307.6923076923
38,2016-04-03,79,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,182307.6923076923
39,2016-04-10,79,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,182307.6923076923
40,2016-04-17,73,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,168461.53846153847
41,2016-04-24,70,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,161538.46153846153
42,2016-05-01,71,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,163846.15384615387
43,2016-05-08,78,False,Documents,Resume,Resume template,23076.923076923078,230769.23076923078,1483,126923,180000.0
