,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1084.6153846153845
1,2015-07-19,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
2,2015-07-26,55,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1269.2307692307693
3,2015-08-02,31,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,715.3846153846154
4,2015-08-09,73,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1684.6153846153848
5,2015-08-16,80,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1846.1538461538462
6,2015-08-23,90,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,2076.9230769230767
7,2015-08-30,85,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1961.5384615384617
8,2015-09-06,100,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,2307.6923076923076
9,2015-09-13,83,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1915.3846153846152
10,2015-09-20,52,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1200.0
11,2015-09-27,59,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1361.5384615384617
12,2015-10-04,51,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1176.923076923077
13,2015-10-11,26,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,600.0
14,2015-10-18,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
15,2015-10-25,24,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,553.8461538461538
16,2015-11-01,26,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,600.0
17,2015-11-08,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
18,2015-11-15,26,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,600.0
19,2015-11-22,18,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,415.3846153846154
20,2015-11-29,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,646.1538461538461
21,2015-12-06,18,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,415.3846153846154
22,2015-12-13,17,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,392.30769230769226
23,2015-12-20,18,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,415.3846153846154
24,2015-12-27,11,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,253.84615384615384
25,2016-01-03,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,761.5384615384615
26,2016-01-10,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,923.0769230769231
27,2016-01-17,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,876.9230769230769
28,2016-01-24,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,646.1538461538461
29,2016-01-31,45,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1038.4615384615383
30,2016-02-07,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
31,2016-02-14,31,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,715.3846153846154
32,2016-02-21,33,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,761.5384615384615
33,2016-02-28,48,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1107.6923076923076
34,2016-03-06,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
35,2016-03-13,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
36,2016-03-20,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,853.8461538461538
37,2016-03-27,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,646.1538461538461
38,2016-04-03,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,923.0769230769231
39,2016-04-10,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1084.6153846153845
40,2016-04-17,49,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1130.7692307692307
41,2016-04-24,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,923.0769230769231
42,2016-05-01,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
43,2016-05-08,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
44,2016-05-15,25,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,576.9230769230769
45,2016-05-22,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
46,2016-05-29,24,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,553.8461538461538
47,2016-06-05,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
48,2016-06-12,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
49,2016-06-19,24,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,553.8461538461538
50,2016-06-26,28,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,646.1538461538461
51,2016-07-03,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,853.8461538461538
52,2016-07-10,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,876.9230769230769
53,2016-07-17,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
54,2016-07-24,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
55,2016-07-31,53,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1223.0769230769229
56,2016-08-07,61,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1407.6923076923076
57,2016-08-14,97,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,2238.4615384615386
58,2016-08-21,83,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1915.3846153846152
59,2016-08-28,78,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1800.0
60,2016-09-04,80,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1846.1538461538462
61,2016-09-11,55,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1269.2307692307693
62,2016-09-18,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
63,2016-09-25,56,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1292.3076923076922
64,2016-10-02,56,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1292.3076923076922
65,2016-10-09,48,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1107.6923076923076
66,2016-10-16,49,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1130.7692307692307
67,2016-10-23,45,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1038.4615384615383
68,2016-10-30,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
69,2016-11-06,35,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,807.6923076923076
70,2016-11-13,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
71,2016-11-20,21,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,484.6153846153846
72,2016-11-27,16,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,369.2307692307692
73,2016-12-04,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
74,2016-12-11,22,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,507.6923076923077
75,2016-12-18,13,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,300.0
76,2016-12-25,18,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,415.3846153846154
77,2017-01-01,38,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,876.9230769230769
78,2017-01-08,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
79,2017-01-15,39,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,900.0
80,2017-01-22,47,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1084.6153846153845
81,2017-01-29,39,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,900.0
82,2017-02-05,29,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,669.2307692307692
83,2017-02-12,27,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,623.0769230769231
84,2017-02-19,18,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,415.3846153846154
85,2017-02-26,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
86,2017-03-05,52,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1200.0
87,2017-03-12,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
88,2017-03-19,49,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1130.7692307692307
89,2017-03-26,29,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,669.2307692307692
90,2017-04-02,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,853.8461538461538
91,2017-04-09,46,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1061.5384615384617
92,2017-04-16,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
93,2017-04-23,50,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1153.8461538461538
94,2017-04-30,67,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1546.1538461538462
95,2017-05-07,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,853.8461538461538
96,2017-05-14,44,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1015.3846153846154
97,2017-05-21,34,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,784.6153846153845
98,2017-05-28,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
99,2017-06-04,41,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,946.1538461538461
100,2017-06-11,23,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,530.7692307692308
101,2017-06-18,35,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,807.6923076923076
102,2017-06-25,36,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,830.7692307692308
103,2017-07-02,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
104,2017-07-09,17,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,392.30769230769226
105,2017-07-16,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
106,2017-07-23,48,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1107.6923076923076
107,2017-07-30,39,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,900.0
108,2017-08-06,71,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1638.4615384615383
109,2017-08-13,66,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1523.076923076923
110,2017-08-20,82,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1892.3076923076922
111,2017-08-27,94,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,2169.230769230769
112,2017-09-03,73,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1684.6153846153848
113,2017-09-10,63,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1453.8461538461538
114,2017-09-17,58,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1338.4615384615383
115,2017-09-24,57,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1315.3846153846152
116,2017-10-01,43,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,992.3076923076924
117,2017-10-08,54,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1246.1538461538462
118,2017-10-15,57,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1315.3846153846152
119,2017-10-22,27,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,623.0769230769231
120,2017-10-29,37,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,853.8461538461538
121,2017-11-05,49,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1130.7692307692307
122,2017-11-12,50,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,1153.8461538461538
123,2017-11-19,19,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,438.46153846153845
124,2017-11-26,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,923.0769230769231
125,2017-12-03,40,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,923.0769230769231
126,2017-12-10,32,False,Education,Seating Chart,Seating Chart template,230.76923076923077,2307.6923076923076,477,1269,738.4615384615385
