,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
1,2015-07-19,51,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,117.6923076923077
2,2015-07-26,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
3,2015-08-02,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
4,2015-08-09,50,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,115.38461538461539
5,2015-08-16,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
6,2015-08-23,49,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,113.07692307692308
7,2015-08-30,48,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,110.76923076923077
8,2015-09-06,0,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,0.0
9,2015-09-13,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
10,2015-09-20,35,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,80.76923076923077
11,2015-09-27,46,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,106.15384615384615
12,2015-10-04,23,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,53.07692307692307
13,2015-10-11,45,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,103.84615384615385
14,2015-10-18,46,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,106.15384615384615
15,2015-10-25,34,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,78.46153846153847
16,2015-11-01,23,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,53.07692307692307
17,2015-11-08,92,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,212.3076923076923
18,2015-11-15,46,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,106.15384615384615
19,2015-11-22,34,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,78.46153846153847
20,2015-11-29,23,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,53.07692307692307
21,2015-12-06,23,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,53.07692307692307
22,2015-12-13,47,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,108.46153846153845
23,2015-12-20,26,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,60.0
24,2015-12-27,26,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,60.0
25,2016-01-03,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
26,2016-01-10,48,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,110.76923076923077
27,2016-01-17,0,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,0.0
28,2016-01-24,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
29,2016-01-31,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
30,2016-02-07,0,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,0.0
31,2016-02-14,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
32,2016-02-21,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
33,2016-02-28,23,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,53.07692307692307
34,2016-03-06,48,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,110.76923076923077
35,2016-03-13,48,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,110.76923076923077
36,2016-03-20,49,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,113.07692307692308
37,2016-03-27,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
38,2016-04-03,36,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,83.07692307692308
39,2016-04-10,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
40,2016-04-17,48,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,110.76923076923077
41,2016-04-24,36,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,83.07692307692308
42,2016-05-01,37,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,85.38461538461539
43,2016-05-08,36,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,83.07692307692308
44,2016-05-15,0,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,0.0
45,2016-05-22,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
46,2016-05-29,49,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,113.07692307692308
47,2016-06-05,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
48,2016-06-12,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
49,2016-06-19,37,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,85.38461538461539
50,2016-06-26,37,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,85.38461538461539
51,2016-07-03,39,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,90.0
52,2016-07-10,0,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,0.0
53,2016-07-17,26,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,60.0
54,2016-07-24,39,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,90.0
55,2016-07-31,26,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,60.0
56,2016-08-07,40,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,92.3076923076923
57,2016-08-14,27,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,62.30769230769231
58,2016-08-21,39,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,90.0
59,2016-08-28,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
60,2016-09-04,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
61,2016-09-11,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
62,2016-09-18,25,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,57.69230769230769
63,2016-09-25,49,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,113.07692307692308
64,2016-10-02,24,False,Video,Slideshow Video,Slideshow Video template,23.076923076923077,230.76923076923077,100,126,55.38461538461539
