,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,47,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,10846.153846153848
1,2015-07-19,49,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,11307.692307692307
2,2015-07-26,47,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,10846.153846153848
3,2015-08-02,44,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,10153.846153846154
4,2015-08-09,55,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,12692.307692307693
5,2015-08-16,45,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,10384.615384615385
6,2015-08-23,51,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,11769.23076923077
7,2015-08-30,51,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,11769.23076923077
8,2015-09-06,73,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,16846.153846153848
9,2015-09-13,66,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,15230.769230769232
10,2015-09-20,56,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,12923.076923076926
11,2015-09-27,69,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,15923.076923076926
12,2015-10-04,82,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,18923.076923076926
13,2015-10-11,88,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,20307.69230769231
14,2015-10-18,73,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,16846.153846153848
15,2015-10-25,77,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,17769.23076923077
16,2015-11-01,95,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,21923.076923076926
17,2015-11-08,100,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,23076.923076923078
18,2015-11-15,85,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,19615.384615384617
19,2015-11-22,70,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,16153.846153846154
20,2015-11-29,83,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,19153.846153846156
21,2015-12-06,66,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,15230.769230769232
22,2015-12-13,49,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,11307.692307692307
23,2015-12-20,27,False,Personal,Storyboard,Storyboard template,2307.6923076923076,23076.923076923078,26,12692,6230.769230769231
