,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,33,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,7615.384615384616
1,2015-07-19,45,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10384.615384615385
2,2015-07-26,55,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12692.307692307693
3,2015-08-02,57,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,13153.846153846154
4,2015-08-09,56,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12923.076923076926
5,2015-08-16,70,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
6,2015-08-23,69,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,15923.076923076926
7,2015-08-30,47,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10846.153846153848
8,2015-09-06,56,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12923.076923076926
9,2015-09-13,68,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,15692.307692307693
10,2015-09-20,63,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
11,2015-09-27,53,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12230.769230769232
12,2015-10-04,80,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,18461.53846153846
13,2015-10-11,67,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,15461.538461538463
14,2015-10-18,61,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
15,2015-10-25,52,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12000.0
16,2015-11-01,60,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,13846.153846153848
17,2015-11-08,61,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,14076.923076923078
18,2015-11-15,63,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,14538.461538461539
19,2015-11-22,82,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,18923.076923076926
20,2015-11-29,98,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,22615.384615384613
21,2015-12-06,91,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,21000.0
22,2015-12-13,78,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,18000.0
23,2015-12-20,22,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,5076.923076923077
24,2015-12-27,29,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,6692.307692307692
25,2016-01-03,28,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,6461.538461538463
26,2016-01-10,48,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11076.923076923078
27,2016-01-17,29,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,6692.307692307692
28,2016-01-24,35,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,8076.923076923077
29,2016-01-31,39,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9000.0
30,2016-02-07,41,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9461.538461538463
31,2016-02-14,44,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10153.846153846154
32,2016-02-21,49,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11307.692307692307
33,2016-02-28,47,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10846.153846153848
34,2016-03-06,42,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9692.307692307693
35,2016-03-13,39,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9000.0
36,2016-03-20,50,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11538.461538461539
37,2016-03-27,64,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,14769.23076923077
38,2016-04-03,66,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,15230.769230769232
39,2016-04-10,83,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,19153.846153846156
40,2016-04-17,77,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,17769.23076923077
41,2016-04-24,100,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,23076.923076923078
42,2016-05-01,96,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,22153.846153846156
43,2016-05-08,71,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,16384.615384615387
44,2016-05-15,70,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,16153.846153846154
45,2016-05-22,67,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,15461.538461538463
46,2016-05-29,50,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11538.461538461539
47,2016-06-05,35,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,8076.923076923077
48,2016-06-12,27,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,6230.769230769231
49,2016-06-19,46,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10615.384615384615
50,2016-06-26,50,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11538.461538461539
51,2016-07-03,21,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,4846.153846153847
52,2016-07-10,54,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,12461.538461538463
53,2016-07-17,40,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9230.76923076923
54,2016-07-24,31,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,7153.846153846153
55,2016-07-31,32,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,7384.615384615385
56,2016-08-07,47,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,10846.153846153848
57,2016-08-14,51,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,11769.23076923077
58,2016-08-21,59,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,13615.384615384615
59,2016-08-28,43,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,9923.076923076924
60,2016-09-04,37,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,8538.461538461539
61,2016-09-11,38,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,8769.23076923077
62,2016-09-18,26,False,Education,Table of Contents,Table of Contents template,2307.6923076923076,23076.923076923078,3100,12692,6000.0
