,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,71,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1638.4615384615383
1,2015-07-19,52,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1200.0
2,2015-07-26,60,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1384.6153846153848
3,2015-08-02,50,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1153.8461538461538
4,2015-08-09,52,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1200.0
5,2015-08-16,78,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1800.0
6,2015-08-23,77,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1776.923076923077
7,2015-08-30,67,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1546.1538461538462
8,2015-09-06,76,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1753.8461538461538
9,2015-09-13,87,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2007.6923076923076
10,2015-09-20,85,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1961.5384615384617
11,2015-09-27,91,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2100.0
12,2015-10-04,95,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2192.3076923076924
13,2015-10-11,100,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2307.6923076923076
14,2015-10-18,91,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2100.0
15,2015-10-25,69,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1592.3076923076922
16,2015-11-01,85,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1961.5384615384617
17,2015-11-08,83,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1915.3846153846152
18,2015-11-15,80,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1846.1538461538462
19,2015-11-22,56,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1292.3076923076922
20,2015-11-29,79,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1823.076923076923
21,2015-12-06,77,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1776.923076923077
22,2015-12-13,52,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1200.0
23,2015-12-20,37,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,853.8461538461538
24,2015-12-27,32,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,738.4615384615385
25,2016-01-03,89,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2053.846153846154
26,2016-01-10,79,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1823.076923076923
27,2016-01-17,57,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1315.3846153846152
28,2016-01-24,75,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1730.7692307692307
29,2016-01-31,83,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1915.3846153846152
30,2016-02-07,66,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1523.076923076923
31,2016-02-14,56,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1292.3076923076922
32,2016-02-21,68,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1569.230769230769
33,2016-02-28,89,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2053.846153846154
34,2016-03-06,68,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1569.230769230769
35,2016-03-13,78,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1800.0
36,2016-03-20,68,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1569.230769230769
37,2016-03-27,53,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1223.0769230769229
38,2016-04-03,75,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1730.7692307692307
39,2016-04-10,65,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1500.0
40,2016-04-17,50,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1153.8461538461538
41,2016-04-24,72,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1661.5384615384617
42,2016-05-01,69,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1592.3076923076922
43,2016-05-08,60,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1384.6153846153848
44,2016-05-15,65,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1500.0
45,2016-05-22,43,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,992.3076923076924
46,2016-05-29,40,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,923.0769230769231
47,2016-06-05,46,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1061.5384615384617
48,2016-06-12,48,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1107.6923076923076
49,2016-06-19,36,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,830.7692307692308
50,2016-06-26,48,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1107.6923076923076
51,2016-07-03,42,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,969.2307692307692
52,2016-07-10,28,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,646.1538461538461
53,2016-07-17,49,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1130.7692307692307
54,2016-07-24,28,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,646.1538461538461
55,2016-07-31,29,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,669.2307692307692
56,2016-08-07,47,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1084.6153846153845
57,2016-08-14,50,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1153.8461538461538
58,2016-08-21,55,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1269.2307692307693
59,2016-08-28,65,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1500.0
60,2016-09-04,58,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1338.4615384615383
61,2016-09-11,82,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1892.3076923076922
62,2016-09-18,86,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1984.6153846153848
63,2016-09-25,66,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1523.076923076923
64,2016-10-02,76,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1753.8461538461538
65,2016-10-09,93,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2146.1538461538457
66,2016-10-16,76,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1753.8461538461538
67,2016-10-23,69,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1592.3076923076922
68,2016-10-30,79,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1823.076923076923
69,2016-11-06,62,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1430.7692307692307
70,2016-11-13,62,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1430.7692307692307
71,2016-11-20,44,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1015.3846153846154
72,2016-11-27,70,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1615.3846153846152
73,2016-12-04,67,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1546.1538461538462
74,2016-12-11,49,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1130.7692307692307
75,2016-12-18,34,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,784.6153846153845
76,2016-12-25,25,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,576.9230769230769
77,2017-01-01,56,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1292.3076923076922
78,2017-01-08,65,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1500.0
79,2017-01-15,54,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1246.1538461538462
80,2017-01-22,74,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1707.6923076923076
81,2017-01-29,79,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1823.076923076923
82,2017-02-05,68,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1569.230769230769
83,2017-02-12,74,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1707.6923076923076
84,2017-02-19,78,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1800.0
85,2017-02-26,91,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2100.0
86,2017-03-05,76,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1753.8461538461538
87,2017-03-12,62,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1430.7692307692307
88,2017-03-19,63,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1453.8461538461538
89,2017-03-26,85,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1961.5384615384617
90,2017-04-02,62,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1430.7692307692307
