,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,29,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,3680.68
1,2015-07-19,30,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,3807.6
2,2015-07-26,28,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,3553.76
3,2015-08-02,30,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,3807.6
4,2015-08-09,37,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4696.04
5,2015-08-16,36,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4569.12
6,2015-08-23,34,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4315.28
7,2015-08-30,39,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4949.88
8,2015-09-06,34,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4315.28
9,2015-09-13,41,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,5203.72
10,2015-09-20,43,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,5457.56
11,2015-09-27,34,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4315.28
12,2015-10-04,44,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,5584.48
13,2015-10-11,37,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4696.04
14,2015-10-18,37,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4696.04
15,2015-10-25,30,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,3807.6
16,2015-11-01,39,False,Marketing,Ticket,Ticket template,2307.6923076923076,23076.923076923078,322,12692,4949.88
