,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
1,2015-07-19,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
2,2015-07-26,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
3,2015-08-02,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
4,2015-08-09,48,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.076923076923077
5,2015-08-16,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
6,2015-08-23,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
7,2015-08-30,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
8,2015-09-06,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
9,2015-09-13,91,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,21.0
10,2015-09-20,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
11,2015-09-27,45,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.384615384615383
12,2015-10-04,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
13,2015-10-11,44,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.153846153846153
14,2015-10-18,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
15,2015-10-25,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
16,2015-11-01,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
17,2015-11-08,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
18,2015-11-15,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
19,2015-11-22,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
20,2015-11-29,44,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.153846153846153
21,2015-12-06,44,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.153846153846153
22,2015-12-13,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
23,2015-12-20,50,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.538461538461538
24,2015-12-27,100,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,23.076923076923077
25,2016-01-03,47,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.846153846153845
26,2016-01-10,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
27,2016-01-17,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
28,2016-01-24,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
29,2016-01-31,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
30,2016-02-07,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
31,2016-02-14,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
32,2016-02-21,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
33,2016-02-28,45,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.384615384615383
34,2016-03-06,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
35,2016-03-13,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
36,2016-03-20,48,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.076923076923077
37,2016-03-27,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
38,2016-04-03,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
39,2016-04-10,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
40,2016-04-17,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
41,2016-04-24,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
42,2016-05-01,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
43,2016-05-08,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
44,2016-05-15,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
45,2016-05-22,47,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.846153846153845
46,2016-05-29,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
47,2016-06-05,47,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.846153846153845
48,2016-06-12,47,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.846153846153845
49,2016-06-19,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
50,2016-06-26,48,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.076923076923077
51,2016-07-03,51,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.769230769230768
52,2016-07-10,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
53,2016-07-17,50,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.538461538461538
54,2016-07-24,50,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.538461538461538
55,2016-07-31,50,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.538461538461538
56,2016-08-07,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
57,2016-08-14,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
58,2016-08-21,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
59,2016-08-28,49,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.307692307692307
60,2016-09-04,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
61,2016-09-11,49,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,11.307692307692307
62,2016-09-18,47,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.846153846153845
63,2016-09-25,0,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,0.0
64,2016-10-02,46,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,10.615384615384615
65,2016-10-09,95,False,Video,Video Collage,Video Collage template,2.3076923076923075,23.076923076923077,340,12,21.923076923076923
