,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,53,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1223.0769230769229
1,2015-07-19,42,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,969.2307692307692
2,2015-07-26,47,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1084.6153846153845
3,2015-08-02,51,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1176.923076923077
4,2015-08-09,49,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1130.7692307692307
5,2015-08-16,63,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1453.8461538461538
6,2015-08-23,64,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1476.923076923077
7,2015-08-30,71,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1638.4615384615383
8,2015-09-06,77,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1776.923076923077
9,2015-09-13,80,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1846.1538461538462
10,2015-09-20,80,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1846.1538461538462
11,2015-09-27,81,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1869.230769230769
12,2015-10-04,77,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1776.923076923077
13,2015-10-11,92,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2123.0769230769233
14,2015-10-18,85,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1961.5384615384617
15,2015-10-25,63,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1453.8461538461538
16,2015-11-01,74,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1707.6923076923076
17,2015-11-08,74,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1707.6923076923076
18,2015-11-15,73,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1684.6153846153848
19,2015-11-22,59,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1361.5384615384617
20,2015-11-29,99,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2284.6153846153848
21,2015-12-06,80,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1846.1538461538462
22,2015-12-13,49,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1130.7692307692307
23,2015-12-20,27,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,623.0769230769231
24,2015-12-27,31,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,715.3846153846154
25,2016-01-03,73,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1684.6153846153848
26,2016-01-10,77,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1776.923076923077
27,2016-01-17,63,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1453.8461538461538
28,2016-01-24,78,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1800.0
29,2016-01-31,70,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1615.3846153846152
30,2016-02-07,64,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1476.923076923077
31,2016-02-14,61,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1407.6923076923076
32,2016-02-21,91,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,2100.0
33,2016-02-28,69,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1592.3076923076922
34,2016-03-06,63,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1453.8461538461538
35,2016-03-13,69,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1592.3076923076922
36,2016-03-20,47,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1084.6153846153845
37,2016-03-27,54,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1246.1538461538462
38,2016-04-03,61,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1407.6923076923076
39,2016-04-10,65,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1500.0
40,2016-04-17,49,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1130.7692307692307
41,2016-04-24,71,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1638.4615384615383
42,2016-05-01,61,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1407.6923076923076
43,2016-05-08,54,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1246.1538461538462
44,2016-05-15,52,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1200.0
45,2016-05-22,51,False,Education,Worksheet,Worksheet template,230.76923076923077,2307.6923076923076,696,1269,1176.923076923077
