,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,26,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,600.0
1,2015-07-19,0,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,0.0
2,2015-07-26,25,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,576.9230769230769
3,2015-08-02,34,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,784.6153846153845
4,2015-08-09,51,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1176.923076923077
5,2015-08-16,42,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,969.2307692307692
6,2015-08-23,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
7,2015-08-30,32,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,738.4615384615385
8,2015-09-06,65,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1500.0
9,2015-09-13,40,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,923.0769230769231
10,2015-09-20,32,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,738.4615384615385
11,2015-09-27,47,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1084.6153846153845
12,2015-10-04,47,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1084.6153846153845
13,2015-10-11,71,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1638.4615384615383
14,2015-10-18,31,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,715.3846153846154
15,2015-10-25,47,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1084.6153846153845
16,2015-11-01,0,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,0.0
17,2015-11-08,23,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,530.7692307692308
18,2015-11-15,39,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,900.0
19,2015-11-22,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
20,2015-11-29,46,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1061.5384615384617
21,2015-12-06,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
22,2015-12-13,40,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,923.0769230769231
23,2015-12-20,18,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,415.3846153846154
24,2015-12-27,35,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,807.6923076923076
25,2016-01-03,58,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1338.4615384615383
26,2016-01-10,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
27,2016-01-17,66,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1523.076923076923
28,2016-01-24,25,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,576.9230769230769
29,2016-01-31,33,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,761.5384615384615
30,2016-02-07,66,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1523.076923076923
31,2016-02-14,49,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1130.7692307692307
32,2016-02-21,32,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,738.4615384615385
33,2016-02-28,24,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,553.8461538461538
34,2016-03-06,40,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,923.0769230769231
35,2016-03-13,40,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,923.0769230769231
36,2016-03-20,50,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1153.8461538461538
37,2016-03-27,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
38,2016-04-03,49,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1130.7692307692307
39,2016-04-10,64,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1476.923076923077
40,2016-04-17,57,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1315.3846153846152
41,2016-04-24,65,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1500.0
42,2016-05-01,25,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,576.9230769230769
43,2016-05-08,65,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1500.0
44,2016-05-15,25,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,576.9230769230769
45,2016-05-22,50,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1153.8461538461538
46,2016-05-29,33,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,761.5384615384615
47,2016-06-05,100,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,2307.6923076923076
48,2016-06-12,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
49,2016-06-19,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
50,2016-06-26,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
51,2016-07-03,0,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,0.0
52,2016-07-10,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
53,2016-07-17,18,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,415.3846153846154
54,2016-07-24,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
55,2016-07-31,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
56,2016-08-07,18,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,415.3846153846154
57,2016-08-14,37,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,853.8461538461538
58,2016-08-21,89,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,2053.846153846154
59,2016-08-28,17,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,392.30769230769226
60,2016-09-04,86,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1984.6153846153848
61,2016-09-11,26,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,600.0
62,2016-09-18,92,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,2123.0769230769233
63,2016-09-25,50,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,1153.8461538461538
64,2016-10-02,33,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,761.5384615384615
65,2016-10-09,42,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,969.2307692307692
66,2016-10-16,16,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,369.2307692307692
67,2016-10-23,41,False,Education,Yearbook,Yearbook template,230.76923076923077,2307.6923076923076,178,1269,946.1538461538461
