,Date,Trend,isPartial,Category,Sub-category,Keyword,Search Vol (min),Search Vol (max),Number of templates,Search Vol (avge),Search Vol
0,2015-07-12,29,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.9
1,2015-07-19,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
2,2015-07-26,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
3,2015-08-02,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
4,2015-08-09,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
5,2015-08-16,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
6,2015-08-23,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
7,2015-08-30,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
8,2015-09-06,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
9,2015-09-13,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
10,2015-09-20,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
11,2015-09-27,26,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.6
12,2015-10-04,26,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.6
13,2015-10-11,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
14,2015-10-18,26,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.6
15,2015-10-25,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
16,2015-11-01,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
17,2015-11-08,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
18,2015-11-15,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
19,2015-11-22,19,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.9
20,2015-11-29,26,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.6
21,2015-12-06,26,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.6
22,2015-12-13,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
23,2015-12-20,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
24,2015-12-27,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
25,2016-01-03,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
26,2016-01-10,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
27,2016-01-17,41,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,4.1
28,2016-01-24,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
29,2016-01-31,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
30,2016-02-07,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
31,2016-02-14,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
32,2016-02-21,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
33,2016-02-28,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
34,2016-03-06,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
35,2016-03-13,20,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.0
36,2016-03-20,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
37,2016-03-27,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
38,2016-04-03,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
39,2016-04-10,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
40,2016-04-17,18,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.8
41,2016-04-24,27,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.7
42,2016-05-01,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
43,2016-05-08,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
44,2016-05-15,13,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.3
45,2016-05-22,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
46,2016-05-29,28,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,2.8
47,2016-06-05,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
48,2016-06-12,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
49,2016-06-19,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
50,2016-06-26,0,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,0.0
51,2016-07-03,30,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,3.0
52,2016-07-10,14,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.4
53,2016-07-17,15,False,Social Media,Your Story,Your Story template,2.3076923076923075,23.076923076923077,1762,10,1.5
